num_qubits_each_circuit,dataset,average_turnaroundTime
2,FFD,5262.545454545455
2,MILQ,5262.545454545455
2,MTMC,5262.545454545455
2,NoTODS,134.3181818181818
3,FFD,15744.0
3,MILQ,15585.116011454544
3,MTMC,15744.0
3,NoTODS,4021.2272727272725
4,FFD,42362.181818181816
4,MILQ,35242.545770000004
4,MTMC,47435.63636363636
4,NoTODS,8921.727272727272
5,FFD,48000.0
5,MILQ,-2615295.9272727272
5,MTMC,38487.27272727273
5,NoTODS,21024.136363636364
6,FFD,39079.27272727273
6,MILQ,39156.36363636364
6,MTMC,32453.81818181818
6,NoTODS,43200.0
7,FFD,49799.27272727273
7,MILQ,28600.809802676362
7,MTMC,43447.27272727273
7,NoTODS,53760.0
8,FFD,65409.454545454544
8,MILQ,43482.181818181816
8,MTMC,54254.545454545456
8,NoTODS,63440.0
9,FFD,77188.36363636363
9,MILQ,457418978.9938343
9,MTMC,81137.45454545454
9,NoTODS,77303.27272727272
10,FFD,79115.63636363637
10,MILQ,65713.22148781818
10,MTMC,77530.18181818182
10,NoTODS,228705.45454545456
