num_qubits_each_circuit,dataset,average_throughput
2,FFD,994.9090909090909
2,MILQ,994.9090909090909
2,MTMC,994.9090909090909
2,NoTODS,21.818181818181817
3,FFD,3002.181818181818
3,MILQ,2794.102958909091
3,MTMC,3002.181818181818
3,NoTODS,384.0
4,FFD,10193.454545454546
4,MILQ,8813.090946
4,MTMC,10827.636363636364
4,NoTODS,776.8181818181819
5,FFD,10193.454545454546
5,MILQ,5196101.818181818
5,MTMC,8290.90909090909
5,NoTODS,1840.0
6,FFD,5096.727272727273
6,MILQ,2714.181818181818
6,MTMC,4786.909090909091
6,NoTODS,3760.0
7,FFD,5111.272727272727
7,MILQ,3204.3739526072723
7,MTMC,5428.363636363636
7,NoTODS,4640.0
8,FFD,6347.636363636364
8,MILQ,3890.909090909091
8,MTMC,6030.545454545455
8,NoTODS,5520.0
9,FFD,9185.454545454546
9,MILQ,30715681.636363637
9,MTMC,10136.727272727272
9,NoTODS,9819.636363636364
10,FFD,9819.636363636364
10,MILQ,6782.772725909091
10,MTMC,9502.545454545454
10,NoTODS,19956.363636363636
