num_qubits_each_circuit,dataset,makespan
2,FFD,10944.0
2,MILQ,10944.0
2,MTMC,10944.0
2,NoTODS,480.0
3,FFD,33024.0
3,MILQ,30735.132548
3,MTMC,33024.0
3,NoTODS,8448.0
4,FFD,112128.0
4,MILQ,96944.000406
4,MTMC,119104.0
4,NoTODS,17090.0
5,FFD,112128.0
5,MILQ,57157120.0
5,MTMC,91200.0
5,NoTODS,40480.0
6,FFD,112128.0
6,MILQ,59712.0
6,MTMC,105312.0
6,NoTODS,82720.0
7,FFD,112448.0
7,MILQ,70496.22695735999
7,MTMC,119424.0
7,NoTODS,102080.0
8,FFD,139648.0
8,MILQ,85600.0
8,MTMC,132672.0
8,NoTODS,121440.0
9,FFD,202080.0
9,MILQ,675744996.0
9,MTMC,223008.0
9,NoTODS,216032.0
10,FFD,216032.0
10,MILQ,149220.99997
10,MTMC,209056.0
10,NoTODS,439040.0
