num_qubits_each_circuit,dataset,average_utilization
2,FFD,0.7333333333333333
2,MILQ,0.7333333333333333
2,MTMC,0.7333333333333333
2,NoTODS,0.36666666666666664
3,FFD,0.6
3,MILQ,0.5995424414736731
3,MTMC,0.6
3,NoTODS,0.775
4,FFD,0.8
4,MILQ,0.799672244588189
4,MTMC,0.8
4,NoTODS,0.7662024575775307
5,FFD,1.0
5,MILQ,0.03251532786981371
5,MTMC,1.0
5,NoTODS,0.7704347826086957
6,FFD,0.9981395348837209
6,MILQ,0.9959675908228963
6,MTMC,0.9981308411214954
6,NoTODS,0.6
7,FFD,0.9714182396891055
7,MILQ,0.9534058490753008
7,MTMC,0.9721762549409139
7,NoTODS,0.7172413793103448
8,FFD,0.8796877413773572
8,MILQ,0.8705763131329578
8,MTMC,0.8776153541792008
8,NoTODS,0.8
9,FFD,0.9091760008705669
9,MILQ,0.00019881673051811346
9,MTMC,0.909901194116939
9,NoTODS,0.9
10,FFD,1.0
10,MILQ,1.0010008012143454
10,MTMC,1.0
10,NoTODS,1.0
