num_qubits_each_circuit,dataset,scheduler_latency
2,FFD,0.006673097610473633
2,MILQ,299.95681595802307
2,MTMC,0.008195877075195312
2,NoTODS,0.72599196434021
3,FFD,0.0074961185455322266
3,MILQ,0.6187384128570557
3,MTMC,0.009639739990234375
3,NoTODS,0.746518611907959
4,FFD,0.006526947021484375
4,MILQ,0.4802675247192383
4,MTMC,0.012057304382324219
4,NoTODS,0.7260239124298096
5,FFD,0.003836393356323242
5,MILQ,0.341400146484375
5,MTMC,0.011545181274414062
5,NoTODS,0.7406091690063477
6,FFD,0.01060032844543457
6,MILQ,3.3818886280059814
6,MTMC,0.018226146697998047
6,NoTODS,0.7590854167938232
7,FFD,0.011507034301757812
7,MILQ,3.168456792831421
7,MTMC,0.018764972686767578
7,NoTODS,0.7578825950622559
8,FFD,0.01282048225402832
8,MILQ,3.2521169185638428
8,MTMC,0.02350473403930664
8,NoTODS,0.7450659275054932
9,FFD,0.013216733932495117
9,MILQ,4.799623489379883
9,MTMC,0.02572488784790039
9,NoTODS,0.760404109954834
10,FFD,0.01385045051574707
10,MILQ,2.2498793601989746
10,MTMC,0.025076627731323242
10,NoTODS,0.7813076972961426
