num_qubits_each_circuit,dataset,average_fidelity
2,FFD,0.8382625886552594
2,MILQ,0.8327430921644728
2,MTMC,0.8555049924859126
2,NoTODS,0.9887944224250507
3,FFD,0.8569174237114283
3,MILQ,0.858101968351941
3,MTMC,0.8622360244750257
3,NoTODS,0.9521358061135402
4,FFD,0.8130822933224415
4,MILQ,0.8196617051255849
4,MTMC,0.8183993814873556
4,NoTODS,0.9523245166520672
5,FFD,0.7941241950427133
5,MILQ,0.7831559708841695
5,MTMC,0.7866241668051884
5,NoTODS,0.8630282647917074
6,FFD,0.9142886762937251
6,MILQ,0.9063861834655854
6,MTMC,0.9056331918909611
6,NoTODS,0.8714716949329606
7,FFD,0.8779559306029302
7,MILQ,0.8740378597182471
7,MTMC,0.8784849411001089
7,NoTODS,0.8667698543832473
8,FFD,0.8855457688250985
8,MILQ,0.8818641101550433
8,MTMC,0.8828782037790791
8,NoTODS,0.8595402754322518
9,FFD,0.855978253623362
9,MILQ,0.8634159820211504
9,MTMC,0.8621946293908187
9,NoTODS,0.868667412908328
10,FFD,0.8546947000894147
10,MILQ,0.8382368141183834
10,MTMC,0.8562255457386531
10,NoTODS,0.8389296217131228
