num_qubits_each_circuit,dataset,average_utilization
2,FFD,0.8
2,MILQ,0.8
2,MTMC,0.6666666666666666
2,NoTODS,0.49382716049382713
3,FFD,0.6
3,MILQ,0.6007820792755141
3,MTMC,0.6
3,NoTODS,0.8450944199914809
4,FFD,0.8
4,MILQ,0.7998829617342202
4,MTMC,0.8
4,NoTODS,0.7607361963190185
5,FFD,1.0
5,MILQ,0.5214416405488288
5,MTMC,1.0
5,NoTODS,0.7704347826086957
6,FFD,1.0
6,MILQ,0.9968073914772446
6,MTMC,1.0
6,NoTODS,0.6
7,FFD,0.9813917755272161
7,MILQ,0.9581280064136826
7,MTMC,0.9782542079672712
7,NoTODS,0.7172413793103448
8,FFD,0.8834835355822879
8,MILQ,0.2007431030447741
8,MTMC,0.8834835355822879
8,NoTODS,0.8
9,FFD,0.9029139234009416
9,MILQ,0.0025479581549544272
9,MTMC,0.9089839869017261
9,NoTODS,0.9
10,FFD,1.0
10,MILQ,1.4149945501884834e-05
10,MTMC,1.0
10,NoTODS,1.0
