num_qubits_each_circuit,dataset,scheduler_latency
2,FFD,0.007798671722412109
2,MILQ,299.96478056907654
2,MTMC,0.003733396530151367
2,NoTODS,0.7978434562683105
3,FFD,0.004460573196411133
3,MILQ,0.3114919662475586
3,MTMC,0.009943723678588867
3,NoTODS,0.6934382915496826
4,FFD,0.007384538650512695
4,MILQ,0.4174034595489502
4,MTMC,0.012099981307983398
4,NoTODS,0.6577041149139404
5,FFD,0.007749795913696289
5,MILQ,0.3052499294281006
5,MTMC,0.013215780258178711
5,NoTODS,0.67067551612854
6,FFD,0.009897947311401367
6,MILQ,2.7737722396850586
6,MTMC,0.012644290924072266
6,NoTODS,0.6723878383636475
7,FFD,0.00937342643737793
7,MILQ,2.3505194187164307
7,MTMC,0.01622605323791504
7,NoTODS,0.7049286365509033
8,FFD,0.010884523391723633
8,MILQ,2.637331962585449
8,MTMC,0.02213764190673828
8,NoTODS,0.6674213409423828
9,FFD,0.007040977478027344
9,MILQ,4.005681037902832
9,MTMC,0.022769927978515625
9,NoTODS,0.6954061985015869
10,FFD,0.007984399795532227
10,MILQ,2.812910795211792
10,MTMC,0.022127389907836914
10,NoTODS,0.7480916976928711
