num_circuit,dataset,average_throughput
2,FFD,2752.0
2,MILQ,2752.0
2,MTMC,2752.0
2,NoTODS,352.75
3,FFD,3669.3333333333335
3,MILQ,3669.3333333333335
3,MTMC,3669.3333333333335
3,NoTODS,469.3333333333333
4,FFD,2752.0
4,MILQ,2752.0
4,MTMC,2752.0
4,NoTODS,352.375
5,FFD,3302.4
5,MILQ,3840.0
5,MTMC,3302.4
5,NoTODS,422.4
6,FFD,2752.0
6,MILQ,2560.0
6,MTMC,2752.0
6,NoTODS,352.25
7,FFD,3145.1428571428573
7,MILQ,2742.8571428571427
7,MTMC,3145.1428571428573
7,NoTODS,402.2857142857143
8,FFD,2752.0
8,MILQ,3440.0
8,MTMC,2752.0
8,NoTODS,352.1875
9,FFD,3057.777777777778
9,MILQ,2560.0
9,MTMC,3057.777777777778
9,NoTODS,391.1111111111111
10,FFD,2752.0
10,MILQ,2304.60225839
10,MTMC,2752.0
10,NoTODS,352.15
11,FFD,3002.181818181818
11,MILQ,2794.102958909091
11,MTMC,3002.181818181818
11,NoTODS,384.0
12,FFD,2752.0
12,MILQ,2294.916697666667
12,MTMC,2752.0
12,NoTODS,352.125
13,FFD,2963.6923076923076
13,MILQ,2363.076923076923
13,MTMC,2963.6923076923076
13,NoTODS,379.0769230769231
14,FFD,2752.0
14,MILQ,2752.0000714281427
14,MTMC,2752.0
14,NoTODS,352.10714285714283
15,FFD,2935.4666666666667
15,MILQ,3303.6662357333335
15,MTMC,2935.4666666666667
15,NoTODS,375.46666666666664
16,FFD,2752.0
16,MILQ,2880.0
16,MTMC,2752.0
16,NoTODS,352.09375
17,FFD,2913.8823529411766
17,MILQ,2484.705882352941
17,MTMC,2913.8823529411766
17,NoTODS,372.70588235294116
18,FFD,2752.0
18,MILQ,2346.6666666666665
18,MTMC,2752.0
18,NoTODS,352.0833333333333
19,FFD,2896.842105263158
19,MILQ,2607.157894736842
19,MTMC,2896.842105263158
19,NoTODS,370.5263157894737
20,FFD,2752.0
20,MTMC,2752.0
20,NoTODS,352.075
