num_circuit,dataset,average_fidelity
2,FFD,0.8665632200766836
2,MILQ,0.8594848893877884
2,MTMC,0.8458756196357534
2,NoTODS,0.9792624979097191
3,FFD,0.8764651898848156
3,MILQ,0.8742157782157176
3,MTMC,0.8643342549420429
3,NoTODS,0.9607983718226704
4,FFD,0.8586767241662074
4,MILQ,0.8685382616538231
4,MTMC,0.8656168878396704
4,NoTODS,0.9617561099490723
5,FFD,0.8691103430248506
5,MILQ,0.8561737631262971
5,MTMC,0.866394816690523
5,NoTODS,0.9523481981575811
6,FFD,0.8609978261812905
6,MILQ,0.8544790047900866
6,MTMC,0.8687737764961274
6,NoTODS,0.9571645563008894
7,FFD,0.863181555129184
7,MILQ,0.84758982563911
7,MTMC,0.8662094270587211
7,NoTODS,0.9507072578334969
8,FFD,0.8663021576031364
8,MILQ,0.8646162325097428
8,MTMC,0.8656929294753407
8,NoTODS,0.9560196198299251
9,FFD,0.8657437974042452
9,MILQ,0.8639442945745552
9,MTMC,0.8605652230516702
9,NoTODS,0.9522317477694626
10,FFD,0.8569174237114283
10,MILQ,0.858101968351941
10,MTMC,0.8622360244750257
10,NoTODS,0.9521358061135402
11,FFD,0.8642338199404609
11,MILQ,0.8516452367095891
11,MTMC,0.8574713790614215
11,NoTODS,0.9523906385866391
12,FFD,0.8617005280466254
12,MILQ,0.8565823553627703
12,MTMC,0.8629703552160938
12,NoTODS,0.9531498476276897
13,FFD,0.8580005624310064
13,MILQ,0.8598671884156249
13,MTMC,0.8634627859103079
13,NoTODS,0.9484129788747788
14,FFD,0.8643324901601646
14,MILQ,0.8607915817857251
14,MTMC,0.8617085659883541
14,NoTODS,0.9518815666118767
15,FFD,0.8626017867158241
15,MILQ,0.8661273239501284
15,MTMC,0.860298781634261
15,NoTODS,0.9475688630238324
16,FFD,0.8620586352071595
16,MILQ,0.8480182032818097
16,MTMC,0.858867022920529
16,NoTODS,0.9533447360957593
17,FFD,0.8649486968295417
17,MILQ,0.8516745268940414
17,MTMC,0.8639486388427544
17,NoTODS,0.948651017172689
18,FFD,0.8644120327723511
18,MILQ,0.8541383794520059
18,MTMC,0.8606713406682716
18,NoTODS,0.9521476844313804
19,FFD,0.8607688276975093
19,MILQ,0.8591810927143566
19,MTMC,0.8596064887849164
19,NoTODS,0.9488269612146747
20,FFD,0.8623919836236985
20,MTMC,0.8664125267088836
20,NoTODS,0.9501641433101823
