num_circuit,dataset,scheduler_latency
2,FFD,0.003534078598022461
2,MILQ,0.19911670684814453
2,MTMC,0.0026373863220214844
2,NoTODS,0.11371445655822754
3,FFD,0.0015463829040527344
3,MILQ,5.937629461288452
3,MTMC,0.0034246444702148438
3,NoTODS,0.21534156799316406
4,FFD,0.005693197250366211
4,MILQ,17.32978057861328
4,MTMC,0.0045032501220703125
4,NoTODS,0.2718698978424072
5,FFD,0.005627870559692383
5,MILQ,300.01317858695984
5,MTMC,0.006179094314575195
5,NoTODS,0.3279533386230469
6,FFD,0.006438732147216797
6,MILQ,1.835277795791626
6,MTMC,0.004628419876098633
6,NoTODS,0.3933532238006592
7,FFD,0.005701303482055664
7,MILQ,0.6776604652404785
7,MTMC,0.009066343307495117
7,NoTODS,0.46549344062805176
8,FFD,0.006218433380126953
8,MILQ,0.8980722427368164
8,MTMC,0.004606008529663086
8,NoTODS,0.5183284282684326
9,FFD,0.003453969955444336
9,MILQ,0.9436028003692627
9,MTMC,0.007108211517333984
9,NoTODS,0.610121488571167
10,FFD,0.004460573196411133
10,MILQ,0.3114919662475586
10,MTMC,0.009943723678588867
10,NoTODS,0.6934382915496826
11,FFD,0.0074961185455322266
11,MILQ,0.6187384128570557
11,MTMC,0.009639739990234375
11,NoTODS,0.746518611907959
12,FFD,0.007196903228759766
12,MILQ,0.42646312713623047
12,MTMC,0.010547637939453125
12,NoTODS,0.7852873802185059
13,FFD,0.007344722747802734
13,MILQ,0.7195630073547363
13,MTMC,0.008010387420654297
13,NoTODS,0.7998569011688232
14,FFD,0.007279396057128906
14,MILQ,0.9321973323822021
14,MTMC,0.013508081436157227
14,NoTODS,0.959277868270874
15,FFD,0.007643699645996094
15,MILQ,1.5358459949493408
15,MTMC,0.013854265213012695
15,NoTODS,0.9939191341400146
16,FFD,0.008823394775390625
16,MILQ,1.204252004623413
16,MTMC,0.013625860214233398
16,NoTODS,1.0460162162780762
17,FFD,0.009207725524902344
17,MILQ,1.2123055458068848
17,MTMC,0.01545405387878418
17,NoTODS,1.1478683948516846
18,FFD,0.008661270141601562
18,MILQ,6.077594757080078
18,MTMC,0.016743183135986328
18,NoTODS,1.1312782764434814
19,FFD,0.008006811141967773
19,MILQ,1.9468028545379639
19,MTMC,0.015909433364868164
19,NoTODS,1.2683498859405518
20,FFD,0.011135339736938477
20,MTMC,0.018413305282592773
20,NoTODS,1.274360179901123
