num_circuit,dataset,makespan
2,FFD,5504.0
2,MILQ,5504.0
2,MTMC,5504.0
2,NoTODS,1411.0
3,FFD,11008.0
3,MILQ,11008.0
3,MTMC,11008.0
3,NoTODS,2816.0
4,FFD,11008.0
4,MILQ,11008.0
4,MTMC,11008.0
4,NoTODS,2819.0
5,FFD,16512.0
5,MILQ,19200.0
5,MTMC,16512.0
5,NoTODS,4224.0
6,FFD,16512.0
6,MILQ,15360.0
6,MTMC,16512.0
6,NoTODS,4227.0
7,FFD,22016.0
7,MILQ,19200.0
7,MTMC,22016.0
7,NoTODS,5632.0
8,FFD,22016.0
8,MILQ,27520.0
8,MTMC,22016.0
8,NoTODS,5635.0
9,FFD,27520.0
9,MILQ,23040.0
9,MTMC,27520.0
9,NoTODS,7040.0
10,FFD,27520.0
10,MILQ,23046.022583899998
10,MTMC,27520.0
10,NoTODS,7043.0
11,FFD,33024.0
11,MILQ,30735.132548
11,MTMC,33024.0
11,NoTODS,8448.0
12,FFD,33024.0
12,MILQ,27539.000372000002
12,MTMC,33024.0
12,NoTODS,8451.0
13,FFD,38528.0
13,MILQ,30720.0
13,MTMC,38528.0
13,NoTODS,9856.0
14,FFD,38528.0
14,MILQ,38528.000999994
14,MTMC,38528.0
14,NoTODS,9859.0
15,FFD,44032.0
15,MILQ,49554.993536
15,MTMC,44032.0
15,NoTODS,11264.0
16,FFD,44032.0
16,MILQ,46080.0
16,MTMC,44032.0
16,NoTODS,11267.0
17,FFD,49536.0
17,MILQ,42240.0
17,MTMC,49536.0
17,NoTODS,12672.0
18,FFD,49536.0
18,MILQ,42240.0
18,MTMC,49536.0
18,NoTODS,12675.0
19,FFD,55040.0
19,MILQ,49536.0
19,MTMC,55040.0
19,NoTODS,14080.0
20,FFD,55040.0
20,MTMC,55040.0
20,NoTODS,14083.0
