num_circuit,dataset,makespan
2,FFD,37376.0
2,MILQ,30400.0
2,MTMC,37376.0
2,NoTODS,74752.0
3,FFD,45600.0
3,MILQ,52576.0
3,MTMC,52576.0
3,NoTODS,105152.0
4,FFD,67776.0
4,MILQ,98176.0
4,MTMC,88704.0
4,NoTODS,156480.0
5,FFD,96928.0
5,MILQ,52592.312203
5,MTMC,89952.0
5,NoTODS,207808.0
6,FFD,119104.0
6,MILQ,126800304.0
6,MTMC,105152.0
6,NoTODS,217280.0
7,FFD,148256.0
7,MILQ,51197489.0
7,MTMC,127328.0
7,NoTODS,254656.0
8,FFD,149504.0
8,MILQ,8998999800.0
8,MTMC,142528.0
8,NoTODS,299008.0
9,FFD,185632.0
9,MILQ,17015080.0
9,MTMC,150752.0
9,NoTODS,343360.0
10,FFD,165952.0
10,MILQ,9624094884.0
10,MTMC,165952.0
10,NoTODS,366784.0
11,FFD,216032.0
11,MILQ,149220.99997
11,MTMC,209056.0
11,NoTODS,439040.0
12,FFD,217280.0
12,MILQ,1332239.7
12,MTMC,224256.0
12,NoTODS,420608.0
13,FFD,260384.0
13,MILQ,217280.0
13,MTMC,232480.0
13,NoTODS,478912.0
14,FFD,275584.0
14,MILQ,149835844.0
14,MTMC,247680.0
14,NoTODS,523264.0
15,FFD,283808.0
15,MILQ,209056.0
15,MTMC,290784.0
15,NoTODS,560640.0
16,FFD,299008.0
16,MILQ,292032.96188417997
16,MTMC,292032.0
16,NoTODS,584064.0
17,FFD,300256.0
17,MILQ,276832.0
17,MTMC,300256.0
17,NoTODS,642368.0
18,FFD,364288.0
18,MILQ,283807.99999758345
18,MTMC,343360.0
18,NoTODS,686720.0
19,FFD,344608.0
19,MILQ,336410.021743
19,MTMC,358560.0
19,NoTODS,724096.0
20,FFD,387712.0
20,MTMC,394688.0
20,NoTODS,740544.0
