num_circuit,dataset,average_utilization
2,FFD,1.0
2,MILQ,1.0
2,MTMC,1.0
2,NoTODS,1.0
3,FFD,1.0
3,MILQ,0.9803055551522935
3,MTMC,1.0
3,NoTODS,1.0
4,FFD,1.0
4,MILQ,1.0
4,MTMC,1.0
4,NoTODS,1.0
5,FFD,1.0
5,MILQ,1.1443406376847431
5,MTMC,1.0
5,NoTODS,1.0
6,FFD,1.0
6,MILQ,0.17726047846726228
6,MTMC,1.0
6,NoTODS,1.0
7,FFD,1.0
7,MILQ,0.022472677688924435
7,MTMC,1.0
7,NoTODS,1.0
8,FFD,1.0
8,MILQ,1.140143134453388e-05
8,MTMC,1.0
8,NoTODS,1.0
9,FFD,1.0
9,MILQ,0.03678329659643497
9,MTMC,1.0
9,NoTODS,1.0
10,FFD,1.0
10,MILQ,1.4149945501884834e-05
10,MTMC,1.0
10,NoTODS,1.0
11,FFD,1.0
11,MILQ,1.0010008012143454
11,MTMC,1.0
11,NoTODS,1.0
12,FFD,1.0
12,MILQ,0.1456040408127886
12,MTMC,1.0
12,NoTODS,1.0
13,FFD,1.0
13,MILQ,0.9999965254855461
13,MTMC,1.0
13,NoTODS,1.0
14,FFD,1.0
14,MILQ,0.28568168908345737
14,MTMC,1.0
14,NoTODS,1.0
15,FFD,1.0
15,MILQ,1.0
15,MTMC,1.0
15,NoTODS,1.0
16,FFD,1.0
16,MILQ,0.9999983531239526
16,MTMC,1.0
16,NoTODS,1.0
17,FFD,1.0
17,MILQ,1.0
17,MTMC,1.0
17,NoTODS,1.0
18,FFD,1.0
18,MILQ,1.0000000000042575
18,MTMC,1.0
18,NoTODS,1.0
19,FFD,1.0
19,MILQ,0.9998665661639198
19,MTMC,1.0
19,NoTODS,1.0
20,FFD,1.0
20,MTMC,1.0
20,NoTODS,1.0
