num_circuit,dataset,average_responseTime
2,FFD,5536.0
2,MILQ,5536.0
2,MTMC,7280.0
2,NoTODS,29776.0
3,FFD,11072.0
3,MILQ,11469.150588333336
3,MTMC,11072.0
3,NoTODS,41488.0
4,FFD,18352.0
4,MILQ,29368.0
4,MTMC,21840.0
4,NoTODS,74128.0
5,FFD,27724.8
5,MILQ,-83810.6363391
5,MTMC,22841.6
5,NoTODS,94908.8
6,FFD,32330.666666666668
6,MILQ,10614445.387066666
6,MTMC,30005.333333333332
6,NoTODS,103365.33333333333
7,FFD,42185.142857142855
7,MILQ,4659101.609285714
7,MTMC,36704.0
7,NoTODS,115243.42857142857
8,FFD,46164.0
8,MILQ,7471075266.25
8,MTMC,44856.0
8,NoTODS,142776.0
9,FFD,54364.444444444445
9,MILQ,1881945.451666667
9,MTMC,47000.88888888889
9,NoTODS,156328.88888888888
10,FFD,51568.0
10,MILQ,906733685.6600001
10,MTMC,53660.8
10,NoTODS,172652.8
11,FFD,65824.0
11,MILQ,54556.85785145455
11,MTMC,64555.63636363636
11,NoTODS,208749.0909090909
12,FFD,68744.0
12,MILQ,204166.98645312502
12,MTMC,70778.66666666667
12,NoTODS,204738.66666666666
13,FFD,81188.92307692308
13,MILQ,70362.20512820693
13,MTMC,72603.07692307692
13,NoTODS,233734.15384615384
14,FFD,89158.85714285714
14,MILQ,257967.19749999902
14,MTMC,78694.85714285714
14,NoTODS,253533.7142857143
15,FFD,87502.93333333333
15,MILQ,74571.73333333334
15,MTMC,92153.6
15,NoTODS,267139.2
16,FFD,96992.0
16,MILQ,92986.48094209001
16,MTMC,93504.0
16,NoTODS,285304.0
17,FFD,99040.0
17,MILQ,90955.29411764706
17,MTMC,97808.94117647059
17,NoTODS,318303.0588235294
18,FFD,118915.55555555556
18,MILQ,95445.33333232642
18,MTMC,112520.88888888889
18,NoTODS,339829.3333333333
19,FFD,113600.0
19,MILQ,111572.12700615791
19,MTMC,118189.47368421052
19,NoTODS,353897.2631578947
20,FFD,126635.2
20,MTMC,126112.0
20,NoTODS,365462.4
