num_circuit,dataset,average_turnaroundTime
2,FFD,18352.0
2,MILQ,16608.0
2,MTMC,20096.0
2,NoTODS,48464.0
3,FFD,22144.0
3,MILQ,23677.150588333334
3,MTMC,23306.666666666668
3,NoTODS,59013.333333333336
4,FFD,30296.0
4,MILQ,43376.0
4,MTMC,36400.0
4,NoTODS,93688.0
5,FFD,40889.6
5,MILQ,-72898.6363391
5,MTMC,35308.8
5,NoTODS,115689.6
6,FFD,45728.0
6,MILQ,10626520.053733332
6,MTMC,42240.0
6,NoTODS,121472.0
7,FFD,56246.857142857145
7,MILQ,4672132.466428571
7,MTMC,49270.857142857145
7,NoTODS,133433.14285714287
8,FFD,58980.0
8,MILQ,7471087506.25
8,MTMC,57236.0
8,NoTODS,161464.0
9,FFD,68149.33333333333
9,MILQ,1893218.3405555557
9,MTMC,58848.0
9,NoTODS,175404.44444444444
10,FFD,63337.6
10,MILQ,906745335.26
10,MTMC,65430.4
10,NoTODS,190992.0
11,FFD,79115.63636363637
11,MILQ,65713.22148781818
11,MTMC,77530.18181818182
11,NoTODS,228705.45454545456
12,FFD,81269.33333333333
12,MILQ,216929.65311979165
12,MTMC,83594.66666666667
12,NoTODS,222264.0
13,FFD,94675.69230769231
13,MILQ,82408.97435897615
13,MTMC,85016.61538461539
13,NoTODS,252153.84615384616
14,FFD,102473.14285714286
14,MILQ,270187.76892857044
14,MTMC,91012.57142857143
14,NoTODS,272221.71428571426
15,FFD,100435.2
15,MILQ,85884.8
15,MTMC,105318.4
15,NoTODS,285827.2
16,FFD,109808.0
16,MILQ,105549.48094209001
16,MTMC,106102.0
16,NoTODS,303556.0
17,FFD,111343.05882352941
17,MILQ,102940.23529411765
17,MTMC,110112.0
17,NoTODS,337196.23529411765
18,FFD,132506.66666666666
18,MILQ,107335.11111010419
18,MTMC,125530.66666666667
18,NoTODS,358904.8888888889
19,FFD,126140.63157894737
19,MILQ,124036.96911142104
19,MTMC,131097.26315789475
19,NoTODS,372952.4210526316
20,FFD,139800.0
20,MTMC,139451.2
20,NoTODS,383976.0
