num_circuit,dataset,average_throughput
2,FFD,9344.0
2,MILQ,7600.0
2,MTMC,9344.0
2,NoTODS,18688.0
3,FFD,7600.0
3,MILQ,8762.666666666666
3,MTMC,8762.666666666666
3,NoTODS,17525.333333333332
4,FFD,8472.0
4,MILQ,12272.0
4,MTMC,11088.0
4,NoTODS,19560.0
5,FFD,9692.8
5,MILQ,5259.2312203
5,MTMC,8995.2
5,NoTODS,20780.8
6,FFD,9925.333333333334
6,MILQ,10566692.0
6,MTMC,8762.666666666666
6,NoTODS,18106.666666666668
7,FFD,10589.714285714286
7,MILQ,3656963.5
7,MTMC,9094.857142857143
7,NoTODS,18189.714285714286
8,FFD,9344.0
8,MILQ,562437487.5
8,MTMC,8908.0
8,NoTODS,18688.0
9,FFD,10312.888888888889
9,MILQ,945282.2222222222
9,MTMC,8375.111111111111
9,NoTODS,19075.555555555555
10,FFD,8297.6
10,MILQ,481204744.2
10,MTMC,8297.6
10,NoTODS,18339.2
11,FFD,9819.636363636364
11,MILQ,6782.772725909091
11,MTMC,9502.545454545454
11,NoTODS,19956.363636363636
12,FFD,9053.333333333334
12,MILQ,55509.987499999996
12,MTMC,9344.0
12,NoTODS,17525.333333333332
13,FFD,10014.76923076923
13,MILQ,8356.923076923076
13,MTMC,8941.538461538461
13,NoTODS,18419.69230769231
14,FFD,9842.285714285714
14,MILQ,5351280.142857143
14,MTMC,8845.714285714286
14,NoTODS,18688.0
15,FFD,9460.266666666666
15,MILQ,6968.533333333334
15,MTMC,9692.8
15,NoTODS,18688.0
16,FFD,9344.0
16,MILQ,9126.030058880624
16,MTMC,9126.0
16,NoTODS,18252.0
17,FFD,8831.058823529413
17,MILQ,8142.117647058823
17,MTMC,8831.058823529413
17,NoTODS,18893.176470588234
18,FFD,10119.111111111111
18,MILQ,7883.5555554884295
18,MTMC,9537.777777777777
18,NoTODS,19075.555555555555
19,FFD,9068.631578947368
19,MILQ,8852.895309026317
19,MTMC,9435.78947368421
19,NoTODS,19055.157894736843
20,FFD,9692.8
20,MTMC,9867.2
20,NoTODS,18513.6
