num_circuit,dataset,average_turnaroundTime
2,FFD,10400.0
2,MILQ,10400.0
2,MTMC,13888.0
2,NoTODS,2233.0
3,FFD,19392.0
3,MILQ,24042.666666666668
3,MTMC,24042.666666666668
3,NoTODS,2977.0
4,FFD,17344.0
4,MILQ,19088.0
4,MTMC,19088.0
4,NoTODS,3721.0
5,FFD,24390.4
5,MILQ,14240.0
5,MTMC,25785.6
5,NoTODS,4465.0
6,FFD,24288.0
6,MILQ,20421.333333333332
6,MTMC,26613.333333333332
6,NoTODS,5209.0
7,FFD,26514.285714285714
7,MILQ,33510.327706714284
7,MTMC,29504.0
7,NoTODS,5953.0
8,FFD,33848.0
8,MILQ,24501.875
8,MTMC,26872.0
8,NoTODS,6697.0
9,FFD,35431.11111111111
9,MILQ,26710.67266111111
9,MTMC,31555.555555555555
9,NoTODS,7441.0
10,FFD,38176.0
10,MILQ,34699.160286
10,MTMC,31200.0
10,NoTODS,8183.3
11,FFD,42362.181818181816
11,MILQ,35242.545770000004
11,MTMC,47435.63636363636
11,NoTODS,8921.727272727272
12,FFD,41632.0
12,MILQ,5463609.5824914975
12,MTMC,45120.0
12,NoTODS,9664.916666666666
13,FFD,44467.692307692305
13,MILQ,33548.307692307695
13,MTMC,49297.230769230766
13,NoTODS,10404.692307692309
14,FFD,46084.57142857143
14,MILQ,44176.0
14,MTMC,49074.28571428572
14,NoTODS,11148.357142857143
15,FFD,53444.26666666667
15,MILQ,26743001.461526666
15,MTMC,55304.53333333333
15,NoTODS,11889.0
16,FFD,58572.0
16,MILQ,47146.0
16,MTMC,53776.0
16,NoTODS,12632.9375
17,FFD,63584.0
17,MILQ,53167.58823529412
17,MTMC,63173.64705882353
17,NoTODS,13374.176470588236
18,FFD,62464.0
18,MILQ,24380779047.555557
18,MTMC,53162.666666666664
18,NoTODS,14118.277777777777
19,FFD,61669.05263157895
19,MILQ,1387931209.805263
19,MTMC,74152.42105263157
19,NoTODS,14859.947368421053
20,FFD,60339.2
20,MTMC,60688.0
20,NoTODS,15604.15
