num_circuit,dataset,average_responseTime
2,FFD,0.0
2,MILQ,0.0
2,MTMC,0.0
2,NoTODS,745.0
3,FFD,5066.666666666667
3,MILQ,7392.0
3,MTMC,7392.0
3,NoTODS,1489.0
4,FFD,5200.0
4,MILQ,6944.0
4,MTMC,6944.0
4,NoTODS,2233.0
5,FFD,11635.2
5,MILQ,6720.0
5,MTMC,11635.2
5,NoTODS,2977.0
6,FFD,11562.666666666666
6,MILQ,9296.0
6,MTMC,13888.0
6,NoTODS,3721.0
7,FFD,15428.57142857143
7,MILQ,19434.899135285716
7,MTMC,16425.14285714286
7,NoTODS,4465.0
8,FFD,20832.0
8,MILQ,14429.875
8,MTMC,15600.0
8,NoTODS,5209.0
9,FFD,22947.555555555555
9,MILQ,16068.894883333334
9,MTMC,20622.222222222223
9,NoTODS,5953.0
10,FFD,25683.2
10,MILQ,23601.560286
10,MTMC,20800.0
10,NoTODS,6695.3
11,FFD,29623.272727272728
11,MILQ,23376.36395181818
11,MTMC,34062.545454545456
11,NoTODS,7433.727272727273
12,FFD,30069.333333333332
12,MILQ,5453428.249158164
12,MTMC,31813.333333333332
12,NoTODS,8176.916666666667
13,FFD,32625.23076923077
13,MILQ,25398.153846153848
13,MTMC,36381.53846153846
13,NoTODS,8916.692307692309
14,FFD,34688.0
14,MILQ,32468.571428571428
14,MTMC,36681.142857142855
14,NoTODS,9660.357142857143
15,FFD,41329.066666666666
15,MILQ,26729781.194859996
15,MTMC,42259.2
15,NoTODS,10401.0
16,FFD,45556.0
16,MILQ,36038.0
16,MTMC,41632.0
16,NoTODS,11144.9375
17,FFD,50439.529411764706
17,MILQ,41408.529411764706
17,MTMC,50029.17647058824
17,NoTODS,11886.176470588236
18,FFD,50513.77777777778
18,MILQ,24380768405.77778
18,MTMC,42375.11111111111
18,NoTODS,12630.277777777777
19,FFD,49914.94736842105
19,MILQ,1387916104.1210525
19,MTMC,60195.36842105263
19,NoTODS,13371.947368421053
20,FFD,49241.6
20,MTMC,49241.6
20,NoTODS,14116.15
