num_circuit,dataset,scheduler_latency
2,FFD,0.0028715133666992188
2,MILQ,0.5624587535858154
2,MTMC,0.0035958290100097656
2,NoTODS,0.1410536766052246
3,FFD,0.0031969547271728516
3,MILQ,4.763926267623901
3,MTMC,0.0034105777740478516
3,NoTODS,0.28600192070007324
4,FFD,0.0059356689453125
4,MILQ,21.13703751564026
4,MTMC,0.0044934749603271484
4,NoTODS,0.24359369277954102
5,FFD,0.003557443618774414
5,MILQ,0.3799567222595215
5,MTMC,0.006889820098876953
5,NoTODS,0.3297126293182373
6,FFD,0.0020842552185058594
6,MILQ,0.35042452812194824
6,MTMC,0.0073664188385009766
6,NoTODS,0.3933296203613281
7,FFD,0.005780935287475586
7,MILQ,0.24321246147155762
7,MTMC,0.006170034408569336
7,NoTODS,0.4637458324432373
8,FFD,0.007036685943603516
8,MILQ,0.2148292064666748
8,MTMC,0.009629487991333008
8,NoTODS,0.5421609878540039
9,FFD,0.007417917251586914
9,MILQ,0.25806689262390137
9,MTMC,0.008695840835571289
9,NoTODS,0.7264375686645508
10,FFD,0.007384538650512695
10,MILQ,0.4174034595489502
10,MTMC,0.012099981307983398
10,NoTODS,0.6577041149139404
11,FFD,0.006526947021484375
11,MILQ,0.4802675247192383
11,MTMC,0.012057304382324219
11,NoTODS,0.7260239124298096
12,FFD,0.004769086837768555
12,MILQ,0.9123477935791016
12,MTMC,0.013721466064453125
12,NoTODS,0.8156852722167969
13,FFD,0.0048787593841552734
13,MILQ,0.7093737125396729
13,MTMC,0.013695478439331055
13,NoTODS,0.8871684074401855
14,FFD,0.009115219116210938
14,MILQ,0.868072509765625
14,MTMC,0.01585221290588379
14,NoTODS,0.9411959648132324
15,FFD,0.008385181427001953
15,MILQ,0.8367259502410889
15,MTMC,0.011347770690917969
15,NoTODS,0.95859694480896
16,FFD,0.008607149124145508
16,MILQ,1.0312821865081787
16,MTMC,0.012433052062988281
16,NoTODS,1.0640802383422852
17,FFD,0.00971078872680664
17,MILQ,5.719799518585205
17,MTMC,0.015117645263671875
17,NoTODS,1.1707172393798828
18,FFD,0.008525848388671875
18,MILQ,3.4783732891082764
18,MTMC,0.017560720443725586
18,NoTODS,1.2045657634735107
19,FFD,0.009757280349731445
19,MILQ,2.067488431930542
19,MTMC,0.018978118896484375
19,NoTODS,1.2672312259674072
20,FFD,0.011280298233032227
20,MTMC,0.0192873477935791
20,NoTODS,1.3228302001953125
