num_circuit,dataset,average_utilization
2,FFD,0.8
2,MILQ,0.8
2,MTMC,0.8
2,NoTODS,0.7586998087954111
3,FFD,0.8
3,MILQ,0.8
3,MTMC,0.8
3,NoTODS,0.7588610284742882
4,FFD,0.8
4,MILQ,0.8
4,MTMC,0.8
4,NoTODS,0.7589416640102008
5,FFD,0.8
5,MILQ,0.8
5,MTMC,0.8
5,NoTODS,0.7589900535577658
6,FFD,0.8
6,MILQ,0.8
6,MTMC,0.8
6,NoTODS,0.7590223166843784
7,FFD,0.8
7,MILQ,0.7992903723693094
7,MTMC,0.8
7,NoTODS,0.759045363454181
8,FFD,0.8
8,MILQ,0.7212574936178757
8,MTMC,0.8
8,NoTODS,0.7590626494500239
9,FFD,0.8
9,MILQ,0.8075096639124846
9,MTMC,0.8
9,NoTODS,0.7590760946577866
10,FFD,0.8
10,MILQ,0.7998829617342202
10,MTMC,0.8
10,NoTODS,0.7607361963190185
11,FFD,0.8
11,MILQ,0.799672244588189
11,MTMC,0.8
11,NoTODS,0.7662024575775307
12,FFD,0.8
12,MILQ,9.848517110381111e-05
12,MTMC,0.8
12,NoTODS,0.7670103092783506
13,FFD,0.8
13,MILQ,0.8
13,MTMC,0.8
13,NoTODS,0.7712149905312469
14,FFD,0.8
14,MILQ,0.8
14,MTMC,0.8
14,NoTODS,0.7715555555555556
15,FFD,0.8
15,MILQ,0.48011274195785447
15,MTMC,0.8
15,NoTODS,0.774932731533721
16,FFD,0.8
16,MILQ,0.8
16,MTMC,0.8
16,NoTODS,0.775
17,FFD,0.8
17,MILQ,0.7999920636495308
17,MTMC,0.8
17,NoTODS,0.7777999846260282
18,FFD,0.8
18,MILQ,3.1073326400885206e-06
18,MTMC,0.8
18,NoTODS,0.7777003484320557
19,FFD,0.8
19,MILQ,1.9749657105348165e-05
19,MTMC,0.8
19,NoTODS,0.7800786369593709
20,FFD,0.8
20,MTMC,0.8
20,NoTODS,0.779874213836478
