num_circuit,dataset,average_throughput
2,FFD,7600.0
2,MILQ,7600.0
2,MTMC,11088.0
2,NoTODS,784.5
3,FFD,12458.666666666666
3,MILQ,14784.0
3,MTMC,14784.0
3,NoTODS,784.3333333333334
4,FFD,9344.0
4,MILQ,9344.0
4,MTMC,9344.0
4,NoTODS,784.25
5,FFD,10515.2
5,MILQ,4480.0
5,MTMC,11910.4
5,NoTODS,784.2
6,FFD,9925.333333333334
6,MILQ,7392.0
6,MTMC,9925.333333333334
6,NoTODS,784.1666666666666
7,FFD,8685.714285714286
7,MILQ,11677.571498428571
7,MTMC,10678.857142857143
7,NoTODS,784.1428571428571
8,FFD,10216.0
8,MILQ,6572.0
8,MTMC,8472.0
8,NoTODS,784.125
9,FFD,9994.666666666666
9,MILQ,7530.666666666667
9,MTMC,8444.444444444445
9,NoTODS,784.1111111111111
10,FFD,9692.8
10,MILQ,8299.732057199999
10,MTMC,7600.0
10,NoTODS,782.4
11,FFD,10193.454545454546
11,MILQ,8813.090946
11,MTMC,10827.636363636364
11,NoTODS,776.8181818181819
12,FFD,8762.666666666666
12,MILQ,58020232.5
12,MTMC,10506.666666666666
12,NoTODS,776.0
13,FFD,9257.846153846154
13,MILQ,4738.461538461538
13,MTMC,10331.076923076924
13,NoTODS,771.7692307692307
14,FFD,8596.57142857143
14,MILQ,8507.42857142857
14,MTMC,9593.142857142857
14,NoTODS,771.4285714285714
15,FFD,9501.866666666667
15,MILQ,44935950.0
15,MTMC,10432.0
15,NoTODS,768.0666666666667
16,FFD,10216.0
16,MILQ,7958.0
16,MTMC,9344.0
16,NoTODS,768.0
17,FFD,10509.176470588236
17,MILQ,8794.35294117647
17,MTMC,10509.176470588236
17,NoTODS,765.2352941176471
18,FFD,9150.222222222223
18,MILQ,1372715455.5555556
18,MTMC,7987.555555555556
18,NoTODS,765.3333333333334
19,FFD,9101.473684210527
19,MILQ,535133061.8947368
19,MTMC,11304.421052631578
19,NoTODS,763.0
20,FFD,8297.6
20,MTMC,8646.4
20,NoTODS,763.2
