num_circuit,dataset,average_turnaroundTime
2,FFD,13328.0
2,MILQ,13328.0
2,MTMC,12592.0
2,NoTODS,13760.0
3,FFD,22384.0
3,MILQ,88368686.5
3,MTMC,21440.0
3,NoTODS,19280.0
4,FFD,22740.0
4,MILQ,18613.373249999997
4,MTMC,23912.0
4,NoTODS,24800.0
5,FFD,31091.2
5,MILQ,23173.8001712
5,MTMC,27299.2
5,NoTODS,30320.0
6,FFD,32152.0
6,MILQ,22234.5730887497
6,MTMC,30581.333333333332
6,NoTODS,35840.0
7,FFD,45682.28571428572
7,MILQ,313851739.14285713
7,MTMC,36278.857142857145
7,NoTODS,41360.0
8,FFD,52900.0
8,MILQ,47546.0
8,MTMC,42192.0
8,NoTODS,46880.0
9,FFD,55646.22222222222
9,MILQ,467177436.0944663
9,MTMC,41260.444444444445
9,NoTODS,52400.0
10,FFD,60393.6
10,MILQ,164839.2905
10,MTMC,49500.8
10,NoTODS,57920.0
11,FFD,65409.454545454544
11,MILQ,43482.181818181816
11,MTMC,54254.545454545456
11,NoTODS,63440.0
12,FFD,63876.0
12,MILQ,67817.33333333333
12,MTMC,61053.333333333336
12,NoTODS,68960.0
13,FFD,79894.15384615384
13,MILQ,54531.692307692305
13,MTMC,66465.23076923077
13,NoTODS,74480.0
14,FFD,78021.71428571429
14,MILQ,55252.8764542857
14,MTMC,64068.57142857143
14,NoTODS,80000.0
15,FFD,83259.73333333334
15,MILQ,61993.3897939667
15,MTMC,74717.86666666667
15,NoTODS,85520.0
16,FFD,81174.0
16,MILQ,69058.0
16,MTMC,74392.0
16,NoTODS,91040.0
17,FFD,86611.76470588235
17,MILQ,80708.4509804059
17,MTMC,79383.5294117647
17,NoTODS,96560.0
18,FFD,105095.11111111111
18,MILQ,78818.66666666667
18,MTMC,80286.22222222222
18,NoTODS,102080.0
19,FFD,106660.21052631579
19,MILQ,1008251.4543947369
19,MTMC,94996.21052631579
19,NoTODS,107600.0
20,FFD,114778.4
20,MTMC,94590.4
20,NoTODS,113120.0
