num_circuit,dataset,average_fidelity
2,FFD,0.8801241085189168
2,MILQ,0.8777763478297691
2,MTMC,0.8856285892466171
2,NoTODS,0.8540176101941294
3,FFD,0.8800781205958361
3,MILQ,0.893802656785445
3,MTMC,0.8842004220120699
3,NoTODS,0.8541736319420252
4,FFD,0.8800025182262025
4,MILQ,0.8743177020883528
4,MTMC,0.887106115401681
4,NoTODS,0.8620240568396572
5,FFD,0.8805855189257488
5,MILQ,0.8747032344815826
5,MTMC,0.8906347918534034
5,NoTODS,0.857505204464033
6,FFD,0.8777633573271868
6,MILQ,0.8758995100666725
6,MTMC,0.8858699670994117
6,NoTODS,0.8559031890283957
7,FFD,0.8787201912869655
7,MILQ,0.8814922081378205
7,MTMC,0.8821022493591588
7,NoTODS,0.8532597601335876
8,FFD,0.8805663166427211
8,MILQ,0.8842100199823768
8,MTMC,0.8812319546665731
8,NoTODS,0.8579201468811454
9,FFD,0.88126108343879
9,MILQ,0.8905933045585949
9,MTMC,0.8827577690499271
9,NoTODS,0.8527784486607648
10,FFD,0.8855457688250985
10,MILQ,0.8818641101550433
10,MTMC,0.8828782037790791
10,NoTODS,0.8595402754322518
11,FFD,0.8799667586993746
11,MILQ,0.8765043817434305
11,MTMC,0.8769467009761217
11,NoTODS,0.8578865607336316
12,FFD,0.8801672872084344
12,MILQ,0.8871236032653402
12,MTMC,0.882516239232278
12,NoTODS,0.8550270927739906
13,FFD,0.8809462728134067
13,MILQ,0.8820098290800076
13,MTMC,0.8842245727030047
13,NoTODS,0.8562998750397713
14,FFD,0.8846673597829786
14,MILQ,0.8803036736424996
14,MTMC,0.8807701342603006
14,NoTODS,0.8595357211908576
15,FFD,0.8835519492379932
15,MILQ,0.8804223935429364
15,MTMC,0.8824148404466854
15,NoTODS,0.8552033942656302
16,FFD,0.8861990263499212
16,MILQ,0.8796162290462437
16,MTMC,0.883123159591117
16,NoTODS,0.8580631082039654
17,FFD,0.8798714003318245
17,MILQ,0.8861645856394211
17,MTMC,0.8839881338618957
17,NoTODS,0.8563444671406976
18,FFD,0.8858015910068798
18,MILQ,0.8813028248677441
18,MTMC,0.8864692153838444
18,NoTODS,0.8559300923597973
19,FFD,0.8805492951771597
19,MILQ,0.8811965054240319
19,MTMC,0.8812460079562147
19,NoTODS,0.8521285230860369
20,FFD,0.8795262655919753
20,MTMC,0.8823053751776163
20,NoTODS,0.8579410828982196
