num_circuit,dataset,scheduler_latency
2,FFD,0.005129098892211914
2,MILQ,17.50295376777649
2,MTMC,0.005768299102783203
2,NoTODS,0.14918899536132812
3,FFD,0.0049283504486083984
3,MILQ,0.16080927848815918
3,MTMC,0.00800466537475586
3,NoTODS,0.21356415748596191
4,FFD,0.0047740936279296875
4,MILQ,0.21759319305419922
4,MTMC,0.010111570358276367
4,NoTODS,0.2785615921020508
5,FFD,0.007357120513916016
5,MILQ,0.4735147953033447
5,MTMC,0.011615276336669922
5,NoTODS,0.3303806781768799
6,FFD,0.0056149959564208984
6,MILQ,0.52960205078125
6,MTMC,0.012958288192749023
6,NoTODS,0.40413331985473633
7,FFD,0.005856752395629883
7,MILQ,1.0744497776031494
7,MTMC,0.014753341674804688
7,NoTODS,0.4922776222229004
8,FFD,0.003842592239379883
8,MILQ,1.3507933616638184
8,MTMC,0.016329288482666016
8,NoTODS,0.6999349594116211
9,FFD,0.009401798248291016
9,MILQ,2.6171436309814453
9,MTMC,0.01898360252380371
9,NoTODS,0.6170313358306885
10,FFD,0.010884523391723633
10,MILQ,2.637331962585449
10,MTMC,0.02213764190673828
10,NoTODS,0.6674213409423828
11,FFD,0.01282048225402832
11,MILQ,3.2521169185638428
11,MTMC,0.02350473403930664
11,NoTODS,0.7450659275054932
12,FFD,0.009257793426513672
12,MILQ,5.694316148757935
12,MTMC,0.025266647338867188
12,NoTODS,0.8271284103393555
13,FFD,0.015192747116088867
13,MILQ,5.613624572753906
13,MTMC,0.029857158660888672
13,NoTODS,0.863903284072876
14,FFD,0.016850948333740234
14,MILQ,403.2073631286621
14,MTMC,0.03307032585144043
14,NoTODS,0.9559614658355713
15,FFD,0.02101731300354004
15,MILQ,17.19071054458618
15,MTMC,0.036086082458496094
15,NoTODS,0.9629409313201904
16,FFD,0.023096323013305664
16,MILQ,12.183571815490723
16,MTMC,0.03994560241699219
16,NoTODS,1.1219520568847656
17,FFD,0.02523493766784668
17,MILQ,1680.4396119117737
17,MTMC,0.04231095314025879
17,NoTODS,1.1387794017791748
18,FFD,0.02834153175354004
18,MILQ,33.53201365470886
18,MTMC,0.043012380599975586
18,NoTODS,1.1988945007324219
19,FFD,0.030775070190429688
19,MILQ,12.865408182144165
19,MTMC,0.048244476318359375
19,NoTODS,1.2549076080322266
20,FFD,0.03558468818664551
20,MTMC,0.050704240798950195
20,NoTODS,1.3205499649047852
