num_circuit,dataset,average_responseTime
2,FFD,5496.0
2,MILQ,5496.0
2,MTMC,4760.0
2,NoTODS,8240.0
3,FFD,12826.666666666666
3,MILQ,88361417.16666667
3,MTMC,10720.0
3,NoTODS,13760.0
4,FFD,14908.0
4,MILQ,12677.37325
4,MTMC,15208.0
4,NoTODS,19280.0
5,FFD,22224.0
5,MILQ,16178.6001712
5,MTMC,17734.4
5,NoTODS,24800.0
6,FFD,24320.0
6,MILQ,13378.5730887497
6,MTMC,22168.0
6,NoTODS,30320.0
7,FFD,36114.28571428572
7,MILQ,313842772.28571427
7,MTMC,27209.14285714286
7,NoTODS,35840.0
8,FFD,43324.0
8,MILQ,37458.0
8,MTMC,33488.0
8,NoTODS,41360.0
9,FFD,46464.0
9,MILQ,467167226.31668854
9,MTMC,32853.333333333336
9,NoTODS,46880.0
10,FFD,51515.2
10,MILQ,157162.4905
10,MTMC,40622.4
10,NoTODS,52400.0
11,FFD,56472.72727272727
11,MILQ,36251.63636363636
11,MTMC,45634.90909090909
11,NoTODS,57920.0
12,FFD,55753.333333333336
12,MILQ,58273.333333333336
12,MTMC,51768.0
12,NoTODS,63440.0
13,FFD,70590.76923076923
13,MILQ,45828.92307692308
13,MTMC,57430.153846153844
13,NoTODS,68960.0
14,FFD,69442.28571428571
14,MILQ,46475.73359714285
14,MTMC,55738.28571428572
14,NoTODS,74480.0
15,FFD,74617.6
15,MILQ,53520.85646063336
15,MTMC,65843.2
15,NoTODS,80000.0
16,FFD,73124.0
16,MILQ,60842.0
16,MTMC,65906.0
16,NoTODS,85520.0
17,FFD,78475.29411764706
17,MILQ,71200.68627452353
17,MTMC,70426.35294117648
17,NoTODS,91040.0
18,FFD,96100.44444444444
18,MILQ,70211.55555555556
18,MTMC,71679.11111111111
18,NoTODS,96560.0
19,FFD,98005.05263157895
19,MILQ,1000575.6649210528
19,MTMC,85606.73684210527
19,NoTODS,102080.0
20,FFD,105900.0
20,MTMC,85537.6
20,NoTODS,107600.0
