num_circuit,dataset,makespan
2,FFD,20704.0
2,MILQ,20704.0
2,MTMC,20704.0
2,NoTODS,22080.0
3,FFD,42880.0
3,MILQ,88382470.0
3,MTMC,49856.0
3,NoTODS,33120.0
4,FFD,41408.0
4,MILQ,45506.0
4,MTMC,48384.0
4,NoTODS,44160.0
5,FFD,63584.0
5,MILQ,39576.000214
5,MTMC,70560.0
5,NoTODS,55200.0
6,FFD,62112.0
6,MILQ,29806779.0
6,MTMC,69088.0
6,NoTODS,66240.0
7,FFD,98240.0
7,MILQ,486685052.0
7,MTMC,91264.0
7,NoTODS,77280.0
8,FFD,110720.0
8,MILQ,128640.0
8,MTMC,96768.0
8,NoTODS,88320.0
9,FFD,118944.0
9,MILQ,10477600200.0
9,MTMC,104992.0
9,NoTODS,99360.0
10,FFD,124448.0
10,MILQ,351127.71
10,MTMC,124448.0
10,NoTODS,110400.0
11,FFD,139648.0
11,MILQ,85600.0
11,MTMC,132672.0
11,NoTODS,121440.0
12,FFD,131200.0
12,MILQ,186560.0
12,MTMC,159104.0
12,NoTODS,132480.0
13,FFD,174304.0
13,MILQ,154848.0
13,MTMC,167328.0
13,NoTODS,143520.0
14,FFD,165856.0
14,MILQ,164608.0
14,MTMC,158880.0
14,NoTODS,154560.0
15,FFD,181056.0
15,MILQ,176869.1231273
15,MTMC,188032.0
15,NoTODS,165600.0
16,FFD,172608.0
16,MILQ,174080.0
16,MTMC,186560.0
16,NoTODS,176640.0
17,FFD,187808.0
17,MILQ,248896.0
17,MTMC,215712.0
17,NoTODS,187680.0
18,FFD,228192.0
18,MILQ,214240.0
18,MTMC,214240.0
18,NoTODS,198720.0
19,FFD,229440.0
19,MILQ,3341338.1
19,MTMC,257344.0
19,NoTODS,209760.0
20,FFD,248896.0
20,MTMC,255872.0
20,NoTODS,220800.0
