num_qubits_each_circuit,dataset,average_utilization
2,FFD,0.75
2,MILQ,0.75
2,MTMC,0.75
2,NoTODS,0.49586776859504134
3,FFD,0.6
3,MILQ,0.5954068408166556
3,MTMC,0.6
3,NoTODS,0.7926136363636364
4,FFD,0.8
4,MILQ,0.48011274195785447
4,MTMC,0.8
4,NoTODS,0.774932731533721
5,FFD,1.0
5,MILQ,0.8742672966000373
5,MTMC,1.0
5,NoTODS,0.7704347826086957
6,FFD,1.0
6,MILQ,0.9943642785529162
6,MTMC,1.0
6,NoTODS,0.6
7,FFD,0.9727565650187572
7,MILQ,0.9464984734307427
7,MTMC,0.9744617903877242
7,NoTODS,0.7172413793103448
8,FFD,0.878881053665016
8,MILQ,0.8843393876042647
8,MTMC,0.88046000318642
8,NoTODS,0.8
9,FFD,0.9090501769554038
9,MILQ,0.904780361757106
9,MTMC,0.9050948699571503
9,NoTODS,0.9
10,FFD,1.0
10,MILQ,1.0
10,MTMC,1.0
10,NoTODS,1.0
