num_qubits_each_circuit,dataset,average_throughput
2,FFD,972.8
2,MILQ,972.8
2,MTMC,972.8
2,NoTODS,16.133333333333333
3,FFD,2935.4666666666667
3,MILQ,3303.6662357333335
3,MTMC,2935.4666666666667
3,NoTODS,375.46666666666664
4,FFD,9501.866666666667
4,MILQ,44935950.0
4,MTMC,10432.0
4,NoTODS,768.0666666666667
5,FFD,9501.866666666667
5,MILQ,7908.62201
5,MTMC,11362.133333333333
5,NoTODS,1840.0
6,FFD,4983.466666666666
6,MILQ,5511.466666666666
6,MTMC,4988.8
6,NoTODS,3760.0
7,FFD,4650.666666666667
7,MILQ,3839.0289065966663
7,MTMC,5348.266666666666
7,NoTODS,4640.0
8,FFD,6035.2
8,MILQ,5895.637437576666
8,MTMC,6267.733333333334
8,NoTODS,5520.0
9,FFD,9460.266666666666
9,MILQ,8953.6
9,MTMC,10157.866666666667
9,NoTODS,9460.266666666666
10,FFD,9460.266666666666
10,MILQ,6968.533333333334
10,MTMC,9692.8
10,NoTODS,18688.0
