num_qubits_each_circuit,dataset,makespan
2,FFD,14592.0
2,MILQ,14592.0
2,MTMC,14592.0
2,NoTODS,484.0
3,FFD,44032.0
3,MILQ,49554.993536
3,MTMC,44032.0
3,NoTODS,11264.0
4,FFD,142528.0
4,MILQ,674039250.0
4,MTMC,156480.0
4,NoTODS,23042.0
5,FFD,142528.0
5,MILQ,118629.33015
5,MTMC,170432.0
5,NoTODS,55200.0
6,FFD,149504.0
6,MILQ,165344.0
6,MTMC,149664.0
6,NoTODS,112800.0
7,FFD,139520.0
7,MILQ,115170.86719789999
7,MTMC,160448.0
7,NoTODS,139200.0
8,FFD,181056.0
8,MILQ,176869.1231273
8,MTMC,188032.0
8,NoTODS,165600.0
9,FFD,283808.0
9,MILQ,268608.0
9,MTMC,304736.0
9,NoTODS,283808.0
10,FFD,283808.0
10,MILQ,209056.0
10,MTMC,290784.0
10,NoTODS,560640.0
