num_qubits_each_circuit,dataset,average_turnaroundTime
2,FFD,6536.533333333334
2,MILQ,5981.866666666667
2,MTMC,6536.533333333334
2,NoTODS,164.5
3,FFD,20377.6
3,MILQ,22039.0502976
3,MTMC,20377.6
3,NoTODS,5421.633333333333
4,FFD,53444.26666666667
4,MILQ,26743001.461526666
4,MTMC,55304.53333333333
4,NoTODS,11889.0
5,FFD,57813.333333333336
5,MILQ,57225.395593335656
5,MTMC,65254.4
5,NoTODS,28384.1
6,FFD,52428.8
6,MILQ,51300.13416666666
6,MTMC,42424.53333333333
6,NoTODS,58240.0
7,FFD,65888.0
7,MILQ,45225.66984415667
7,MTMC,57783.46666666667
7,NoTODS,72320.0
8,FFD,83259.73333333334
8,MILQ,61993.3897939667
8,MTMC,74717.86666666667
8,NoTODS,85520.0
9,FFD,103722.66666666667
9,MILQ,98284.8
9,MTMC,104012.8
9,NoTODS,95756.8
10,FFD,100435.2
10,MILQ,85884.8
10,MTMC,105318.4
10,NoTODS,285827.2
