num_qubits_each_circuit,dataset,average_fidelity
2,FFD,0.8450914804678223
2,MILQ,0.8402126925213937
2,MTMC,0.845104643805854
2,NoTODS,0.9879984945516218
3,FFD,0.8586767241662074
3,MILQ,0.8685382616538231
3,MTMC,0.8656168878396704
3,NoTODS,0.9617561099490723
4,FFD,0.7951359380024663
4,MILQ,0.8227411371793194
4,MTMC,0.8108998870259749
4,NoTODS,0.9547358236275668
5,FFD,0.7961536938261722
5,MILQ,0.8039050020812339
5,MTMC,0.7841537187233736
5,NoTODS,0.8766363033401049
6,FFD,0.9049076751292477
6,MILQ,0.9084823337475804
6,MTMC,0.9034840635437238
6,NoTODS,0.8770743578679232
7,FFD,0.8711900702099499
7,MILQ,0.9139226584804753
7,MTMC,0.8740292180942794
7,NoTODS,0.8694924330289872
8,FFD,0.8800025182262025
8,MILQ,0.8743177020883528
8,MTMC,0.887106115401681
8,NoTODS,0.8620240568396572
9,FFD,0.8539504820894164
9,MILQ,0.8483540345479015
9,MTMC,0.8696850240749763
9,NoTODS,0.8725010935954534
10,FFD,0.8529510567457651
10,MILQ,0.8547129920469555
10,MTMC,0.8560369697365868
10,NoTODS,0.8287288875848644
