num_qubits_each_circuit,dataset,average_throughput
2,FFD,912.0
2,MILQ,912.0
2,MTMC,912.0
2,NoTODS,20.375
3,FFD,2752.0
3,MILQ,2752.0
3,MTMC,2752.0
3,NoTODS,352.375
4,FFD,9344.0
4,MILQ,9344.0
4,MTMC,9344.0
4,NoTODS,784.25
5,FFD,11088.0
5,MILQ,9344.0
5,MTMC,9344.0
5,NoTODS,1840.0
6,FFD,3820.0
6,MILQ,4692.0
6,MTMC,5544.0
6,NoTODS,3760.0
7,FFD,5128.0
7,MILQ,9390.031243875
7,MTMC,4672.0
7,NoTODS,4640.0
8,FFD,5176.0
8,MILQ,5688.25
8,MTMC,6048.0
8,NoTODS,5520.0
9,FFD,10216.0
9,MILQ,12989.87499625
9,MTMC,9344.0
9,NoTODS,9344.0
10,FFD,8472.0
10,MILQ,12272.0
10,MTMC,11088.0
10,NoTODS,19560.0
