num_qubits_each_circuit,dataset,average_turnaroundTime
2,FFD,2608.0
2,MILQ,2608.0
2,MTMC,2608.0
2,NoTODS,81.5
3,FFD,7008.0
3,MILQ,7008.0
3,MTMC,7008.0
3,NoTODS,1529.25
4,FFD,17344.0
4,MILQ,19088.0
4,MTMC,19088.0
4,NoTODS,3721.0
5,FFD,21840.0
5,MILQ,18352.0
5,MTMC,18352.0
5,NoTODS,8144.375
6,FFD,23524.0
6,MILQ,19828.0
6,MTMC,10980.0
6,NoTODS,16880.0
7,FFD,24028.0
7,MILQ,32229.24109625
7,MTMC,12576.0
7,NoTODS,21280.0
8,FFD,22740.0
8,MILQ,18613.373249999997
8,MTMC,23912.0
8,NoTODS,24800.0
9,FFD,34012.0
9,MILQ,44748.5317575
9,MTMC,29208.0
9,NoTODS,29488.0
10,FFD,30296.0
10,MILQ,43376.0
10,MTMC,36400.0
10,NoTODS,93688.0
