num_qubits_each_circuit,dataset,scheduler_latency
2,FFD,0.005613803863525391
2,MILQ,300.0177171230316
2,MTMC,0.007684469223022461
2,NoTODS,0.6030607223510742
3,FFD,0.003453969955444336
3,MILQ,0.9436028003692627
3,MTMC,0.007108211517333984
3,NoTODS,0.610121488571167
4,FFD,0.007417917251586914
4,MILQ,0.25806689262390137
4,MTMC,0.008695840835571289
4,NoTODS,0.7264375686645508
5,FFD,0.004175662994384766
5,MILQ,0.24541211128234863
5,MTMC,0.01184225082397461
5,NoTODS,0.5959126949310303
6,FFD,0.009844779968261719
6,MILQ,2.8926033973693848
6,MTMC,0.011774778366088867
6,NoTODS,0.6284840106964111
7,FFD,0.009392499923706055
7,MILQ,1.571220874786377
7,MTMC,0.014772176742553711
7,NoTODS,0.5970745086669922
8,FFD,0.009401798248291016
8,MILQ,2.6171436309814453
8,MTMC,0.01898360252380371
8,NoTODS,0.6170313358306885
9,FFD,0.010193109512329102
9,MILQ,1.800166368484497
9,MTMC,0.02193140983581543
9,NoTODS,0.6022229194641113
10,FFD,0.010368108749389648
10,MILQ,2.7075560092926025
10,MTMC,0.022211074829101562
10,NoTODS,0.6984729766845703
