num_qubits_each_circuit,dataset,average_throughput
2,FFD,1216.0
2,MILQ,1216.0
2,MTMC,1216.0
2,NoTODS,17.944444444444443
3,FFD,3057.777777777778
3,MILQ,2560.0
3,MTMC,3057.777777777778
3,NoTODS,391.1111111111111
4,FFD,9994.666666666666
4,MILQ,7530.666666666667
4,MTMC,8444.444444444445
4,NoTODS,784.1111111111111
5,FFD,10769.777777777777
5,MILQ,5401.0
5,MTMC,10769.777777777777
5,NoTODS,1840.0
6,FFD,4997.333333333333
6,MILQ,413858298.6666667
6,MTMC,5006.222222222223
6,NoTODS,3760.0
7,FFD,5587.555555555556
7,MILQ,4304.0
7,MTMC,5200.0
7,NoTODS,4640.0
8,FFD,6608.0
8,MILQ,582088900.0
8,MTMC,5832.888888888889
8,NoTODS,5520.0
9,FFD,9537.777777777777
9,MILQ,2012445177.7777777
9,MTMC,8375.111111111111
9,NoTODS,9150.222222222223
10,FFD,10312.888888888889
10,MILQ,945282.2222222222
10,MTMC,8375.111111111111
10,NoTODS,19075.555555555555
