num_qubits_each_circuit,dataset,average_fidelity
2,FFD,0.8417195105217607
2,MILQ,0.8444229360966383
2,MTMC,0.8440765737485324
2,NoTODS,0.9880763423155243
3,FFD,0.8657437974042452
3,MILQ,0.8639442945745552
3,MTMC,0.8605652230516702
3,NoTODS,0.9522317477694626
4,FFD,0.8168275046106298
4,MILQ,0.82121944619927
4,MTMC,0.8081383285447296
4,NoTODS,0.9519981351116624
5,FFD,0.7862645882963265
5,MILQ,0.7882296005674838
5,MTMC,0.787150835798889
5,NoTODS,0.861943612782234
6,FFD,0.9101821336934058
6,MILQ,0.9100157921380526
6,MTMC,0.9109587627208563
6,NoTODS,0.8657209427216306
7,FFD,0.8782753953558187
7,MILQ,0.888788884634755
7,MTMC,0.8775709159850263
7,NoTODS,0.8667829288198987
8,FFD,0.88126108343879
8,MILQ,0.8905933045585949
8,MTMC,0.8827577690499271
8,NoTODS,0.8527784486607648
9,FFD,0.860261160334982
9,MILQ,0.8594692664982566
9,MTMC,0.8537900857599916
9,NoTODS,0.8717968406746621
10,FFD,0.853187584108453
10,MILQ,0.8414371976647811
10,MTMC,0.8538648359660607
10,NoTODS,0.8388789149362806
