num_qubits_each_circuit,dataset,average_turnaroundTime
2,FFD,4693.333333333333
2,MILQ,5560.888888888889
2,MTMC,4693.333333333333
2,NoTODS,118.44444444444444
3,FFD,13440.0
3,MILQ,12629.333333333334
3,MTMC,13440.0
3,NoTODS,3323.5555555555557
4,FFD,35431.11111111111
4,MILQ,26710.67266111111
4,MTMC,31555.555555555555
4,NoTODS,7441.0
5,FFD,40800.0
5,MILQ,29269.308577777778
5,MTMC,38474.666666666664
5,NoTODS,17344.166666666668
6,FFD,32832.0
6,MILQ,826645696.2761111
6,MTMC,30577.777777777777
6,NoTODS,35680.0
7,FFD,43432.88888888889
7,MILQ,36787.555555555555
7,MTMC,31683.555555555555
7,NoTODS,44480.0
8,FFD,55646.22222222222
8,MILQ,467177436.0944663
8,MTMC,41260.444444444445
8,NoTODS,52400.0
9,FFD,61724.444444444445
9,MILQ,4232145184.999337
9,MTMC,59128.88888888889
9,NoTODS,61301.333333333336
10,FFD,68149.33333333333
10,MILQ,1893218.3405555557
10,MTMC,58848.0
10,NoTODS,175404.44444444444
