num_qubits_each_circuit,dataset,average_utilization
2,FFD,0.7333333333333333
2,MILQ,0.7
2,MTMC,0.7333333333333333
2,NoTODS,0.4458204334365325
3,FFD,0.6
3,MILQ,0.6
3,MTMC,0.6
3,NoTODS,0.7609090909090909
4,FFD,0.8
4,MILQ,0.8075096639124846
4,MTMC,0.8
4,NoTODS,0.7590760946577866
5,FFD,1.0
5,MILQ,0.9865147453522252
5,MTMC,1.0
5,NoTODS,0.7704347826086957
6,FFD,0.9994172494172494
6,MILQ,0.006500687842201433
6,MTMC,0.9998224431818181
6,NoTODS,0.6
7,FFD,0.9682119726010365
7,MILQ,0.9336596672845572
7,MTMC,0.9679416445623342
7,NoTODS,0.7172413793103448
8,FFD,0.8801079703973234
8,MILQ,0.0005168689597226464
8,MTMC,0.8751886384187546
8,NoTODS,0.8
9,FFD,0.9016116366531641
9,MILQ,2.7310944908440943e-06
9,MTMC,0.9042578753643717
9,NoTODS,0.9
10,FFD,1.0
10,MILQ,0.03678329659643497
10,MTMC,1.0
10,NoTODS,1.0
