num_qubits_each_circuit,dataset,makespan
2,FFD,18240.0
2,MILQ,18240.0
2,MTMC,18240.0
2,NoTODS,642.0
3,FFD,49536.0
3,MILQ,42240.0
3,MTMC,49536.0
3,NoTODS,12675.0
4,FFD,164704.0
4,MILQ,24708878200.0
4,MTMC,143776.0
4,NoTODS,27552.0
5,FFD,171680.0
5,MILQ,79664362176.0
5,MTMC,171680.0
5,NoTODS,66240.0
6,FFD,172000.0
6,MILQ,158528.0
6,MTMC,178976.0
6,NoTODS,135360.0
7,FFD,182944.0
7,MILQ,126720.0
7,MTMC,190848.0
7,NoTODS,167040.0
8,FFD,228192.0
8,MILQ,214240.0
8,MTMC,214240.0
8,NoTODS,198720.0
9,FFD,336384.0
9,MILQ,366784.0
9,MTMC,343360.0
9,NoTODS,329408.0
10,FFD,364288.0
10,MILQ,283807.99999758345
10,MTMC,343360.0
10,NoTODS,686720.0
