num_qubits_each_circuit,dataset,average_turnaroundTime
2,FFD,7822.222222222223
2,MILQ,7244.444444444444
2,MTMC,7244.444444444444
2,NoTODS,191.83333333333334
3,FFD,23360.0
3,MILQ,22641.777777777777
3,MTMC,23360.0
3,NoTODS,6456.861111111111
4,FFD,62464.0
4,MILQ,24380779047.555557
4,MTMC,53162.666666666664
4,NoTODS,14118.277777777777
5,FFD,64273.77777777778
5,MILQ,4513957310.999996
5,MTMC,65048.88888888889
5,NoTODS,33904.083333333336
6,FFD,93890.66666666667
6,MILQ,68161.77777777778
6,MTMC,57582.22222222222
6,NoTODS,69520.0
7,FFD,93423.11111111111
7,MILQ,54467.555555555555
7,MTMC,66890.66666666667
7,NoTODS,86240.0
8,FFD,105095.11111111111
8,MILQ,78818.66666666667
8,MTMC,80286.22222222222
8,NoTODS,102080.0
9,FFD,121159.11111111111
9,MILQ,132068.44444444444
9,MTMC,120454.22222222222
9,NoTODS,115852.44444444444
10,FFD,132506.66666666666
10,MILQ,107335.11111010419
10,MTMC,125530.66666666667
10,NoTODS,358904.8888888889
