num_qubits_each_circuit,dataset,average_throughput
2,FFD,1013.3333333333334
2,MILQ,1013.3333333333334
2,MTMC,1013.3333333333334
2,NoTODS,17.833333333333332
3,FFD,2752.0
3,MILQ,2346.6666666666665
3,MTMC,2752.0
3,NoTODS,352.0833333333333
4,FFD,9150.222222222223
4,MILQ,1372715455.5555556
4,MTMC,7987.555555555556
4,NoTODS,765.3333333333334
5,FFD,9537.777777777777
5,MILQ,4425797898.666667
5,MTMC,9537.777777777777
5,NoTODS,1840.0
6,FFD,4777.777777777777
6,MILQ,4403.555555555556
6,MTMC,4971.555555555556
6,NoTODS,3760.0
7,FFD,5081.777777777777
7,MILQ,3520.0
7,MTMC,5301.333333333333
7,NoTODS,4640.0
8,FFD,6338.666666666667
8,MILQ,5951.111111111111
8,MTMC,5951.111111111111
8,NoTODS,5520.0
9,FFD,9344.0
9,MILQ,10188.444444444445
9,MTMC,9537.777777777777
9,NoTODS,9150.222222222223
10,FFD,10119.111111111111
10,MILQ,7883.5555554884295
10,MTMC,9537.777777777777
10,NoTODS,19075.555555555555
