num_qubits_each_circuit,dataset,average_fidelity
2,FFD,0.8333793016980628
2,MILQ,0.8436678272086633
2,MTMC,0.8419389480771481
2,NoTODS,0.9873226138979732
3,FFD,0.8644120327723511
3,MILQ,0.8541383794520059
3,MTMC,0.8606713406682716
3,NoTODS,0.9521476844313804
4,FFD,0.814663832071121
4,MILQ,0.8191389933906871
4,MTMC,0.8110588602007882
4,NoTODS,0.9514742154900673
5,FFD,0.785143781719544
5,MILQ,0.7854946013376608
5,MTMC,0.7939938527260608
5,NoTODS,0.8609208160556524
6,FFD,0.9100584135191945
6,MILQ,0.9115341238530343
6,MTMC,0.9110607958287579
6,NoTODS,0.8694837587315343
7,FFD,0.8771140363009586
7,MILQ,0.8850425062766978
7,MTMC,0.8755254859270646
7,NoTODS,0.8671399112468937
8,FFD,0.8858015910068798
8,MILQ,0.8813028248677441
8,MTMC,0.8864692153838444
8,NoTODS,0.8559300923597973
9,FFD,0.8565202727559624
9,MILQ,0.8554405763046987
9,MTMC,0.8581770696612768
9,NoTODS,0.8705754195147734
10,FFD,0.8570014656959709
10,MILQ,0.8366538178936913
10,MTMC,0.8543014745073748
10,NoTODS,0.8426149847964179
