num_qubits_each_circuit,dataset,average_utilization
2,FFD,0.8
2,MILQ,0.72
2,MTMC,0.72
2,NoTODS,0.44859813084112143
3,FFD,0.6
3,MILQ,0.6
3,MTMC,0.6
3,NoTODS,0.8452544378698225
4,FFD,0.8
4,MILQ,3.1073326400885206e-06
4,MTMC,0.8
4,NoTODS,0.7777003484320557
5,FFD,1.0
5,MILQ,1.914234204449659e-05
5,MTMC,1.0
5,NoTODS,0.7704347826086957
6,FFD,0.9994786235662148
6,MILQ,0.9944042354691616
6,MTMC,0.9998212050777757
6,NoTODS,0.6
7,FFD,0.980714146521847
7,MILQ,0.9526864007926678
7,MTMC,0.9794917242146346
7,NoTODS,0.7172413793103448
8,FFD,0.8842947726961696
8,MILQ,0.8814673781009024
8,MTMC,0.8814673781009024
8,NoTODS,0.8
9,FFD,0.9058172719549751
9,MILQ,0.9057358095079777
9,MTMC,0.902748674897833
9,NoTODS,0.9
10,FFD,1.0
10,MILQ,1.0000000000042575
10,MTMC,1.0
10,NoTODS,1.0
