num_qubits_each_circuit,dataset,average_turnaroundTime
2,FFD,7209.411764705882
2,MILQ,6597.64705882353
2,MTMC,7209.411764705882
2,NoTODS,183.73529411764707
3,FFD,22701.176470588234
3,MILQ,21707.29411764706
3,MTMC,22701.176470588234
3,NoTODS,6123.176470588235
4,FFD,63584.0
4,MILQ,53167.58823529412
4,MTMC,63173.64705882353
4,NoTODS,13374.176470588236
5,FFD,65609.41176470589
5,MILQ,605141511.5016118
5,MTMC,61095.529411764706
5,NoTODS,32064.08823529412
6,FFD,56256.94117647059
6,MILQ,44443.294249686274
6,MTMC,60707.76470588235
6,NoTODS,65760.0
7,FFD,81591.5294117647
7,MILQ,58009.01004284709
7,MTMC,58415.05882352941
7,NoTODS,81600.0
8,FFD,86611.76470588235
8,MILQ,80708.4509804059
8,MTMC,79383.5294117647
8,NoTODS,96560.0
9,FFD,118699.29411764706
9,MILQ,93706.35294117648
9,MTMC,108623.05882352941
9,NoTODS,106731.29411764706
10,FFD,111343.05882352941
10,MILQ,102940.23529411765
10,MTMC,110112.0
10,NoTODS,337196.23529411765
