num_qubits_each_circuit,dataset,makespan
2,FFD,18240.0
2,MILQ,14592.0
2,MTMC,18240.0
2,NoTODS,641.0
3,FFD,49536.0
3,MILQ,42240.0
3,MTMC,49536.0
3,NoTODS,12672.0
4,FFD,178656.0
4,MILQ,149504.0
4,MTMC,178656.0
4,NoTODS,26018.0
5,FFD,171680.0
5,MILQ,2579970744.0
5,MTMC,157728.0
5,NoTODS,62560.0
6,FFD,150752.0
6,MILQ,90592.00034533335
6,MTMC,185952.0
6,NoTODS,127840.0
7,FFD,175648.0
7,MILQ,99166.7142857
7,MTMC,154720.0
7,NoTODS,157760.0
8,FFD,187808.0
8,MILQ,248896.0
8,MTMC,215712.0
8,NoTODS,187680.0
9,FFD,342112.0
9,MILQ,247680.0
9,MTMC,300256.0
9,NoTODS,307232.0
10,FFD,300256.0
10,MILQ,276832.0
10,MTMC,300256.0
10,NoTODS,642368.0
