num_qubits_each_circuit,dataset,average_throughput
2,FFD,1072.9411764705883
2,MILQ,858.3529411764706
2,MTMC,1072.9411764705883
2,NoTODS,18.852941176470587
3,FFD,2913.8823529411766
3,MILQ,2484.705882352941
3,MTMC,2913.8823529411766
3,NoTODS,372.70588235294116
4,FFD,10509.176470588236
4,MILQ,8794.35294117647
4,MTMC,10509.176470588236
4,NoTODS,765.2352941176471
5,FFD,10098.823529411764
5,MILQ,151762984.94117647
5,MTMC,9278.117647058823
5,NoTODS,1840.0
6,FFD,4433.882352941177
6,MILQ,2664.470598392157
6,MTMC,5469.176470588235
6,NoTODS,3760.0
7,FFD,5166.117647058823
7,MILQ,2916.6680672264706
7,MTMC,4550.588235294118
7,NoTODS,4640.0
8,FFD,5523.764705882353
8,MILQ,7320.470588235294
8,MTMC,6344.470588235294
8,NoTODS,5520.0
9,FFD,10062.117647058823
9,MILQ,7284.705882352941
9,MTMC,8831.058823529413
9,NoTODS,9036.235294117647
10,FFD,8831.058823529413
10,MILQ,8142.117647058823
10,MTMC,8831.058823529413
10,NoTODS,18893.176470588234
