num_qubits_each_circuit,dataset,makespan
2,FFD,7296.0
2,MILQ,6272.0
2,MTMC,7296.0
2,NoTODS,322.0
3,FFD,22016.0
3,MILQ,27520.0
3,MTMC,22016.0
3,NoTODS,5635.0
4,FFD,81728.0
4,MILQ,52576.0
4,MTMC,67776.0
4,NoTODS,12546.0
5,FFD,81728.0
5,MILQ,41684.000299
5,MTMC,81728.0
5,NoTODS,29440.0
6,FFD,74912.0
6,MILQ,41184.0
6,MTMC,67936.0
6,NoTODS,60160.0
7,FFD,89024.0
7,MILQ,53760.0
7,MTMC,85376.0
7,NoTODS,74240.0
8,FFD,110720.0
8,MILQ,128640.0
8,MTMC,96768.0
8,NoTODS,88320.0
9,FFD,149504.0
9,MILQ,2276319.6
9,MTMC,149504.0
9,NoTODS,156480.0
10,FFD,149504.0
10,MILQ,8998999800.0
10,MTMC,142528.0
10,NoTODS,299008.0
