num_qubits_each_circuit,dataset,average_turnaroundTime
2,FFD,3912.0
2,MILQ,3592.0
2,MTMC,3912.0
2,NoTODS,112.5625
3,FFD,11680.0
3,MILQ,13200.0
3,MTMC,11680.0
3,NoTODS,2937.0
4,FFD,33848.0
4,MILQ,24501.875
4,MTMC,26872.0
4,NoTODS,6697.0
5,FFD,33784.0
5,MILQ,24835.523956750003
5,MTMC,33784.0
5,NoTODS,15504.1875
6,FFD,44448.0
6,MILQ,28921.999999920386
6,MTMC,25036.0
6,NoTODS,31920.0
7,FFD,46400.0
7,MILQ,24286.0
7,MTMC,32066.0
7,NoTODS,39840.0
8,FFD,52900.0
8,MILQ,47546.0
8,MTMC,42192.0
8,NoTODS,46880.0
9,FFD,57444.0
9,MILQ,-5725378.706875001
9,MTMC,54524.0
9,NoTODS,56828.0
10,FFD,58980.0
10,MILQ,7471087506.25
10,MTMC,57236.0
10,NoTODS,161464.0
