num_qubits_each_circuit,dataset,average_throughput
2,FFD,912.0
2,MILQ,784.0
2,MTMC,912.0
2,NoTODS,20.125
3,FFD,2752.0
3,MILQ,3440.0
3,MTMC,2752.0
3,NoTODS,352.1875
4,FFD,10216.0
4,MILQ,6572.0
4,MTMC,8472.0
4,NoTODS,784.125
5,FFD,10216.0
5,MILQ,5210.500037375
5,MTMC,10216.0
5,NoTODS,1840.0
6,FFD,4682.0
6,MILQ,2574.0
6,MTMC,4246.0
6,NoTODS,3760.0
7,FFD,5564.0
7,MILQ,3360.0
7,MTMC,5336.0
7,NoTODS,4640.0
8,FFD,6920.0
8,MILQ,8040.0
8,MTMC,6048.0
8,NoTODS,5520.0
9,FFD,9344.0
9,MILQ,142269.975
9,MTMC,9344.0
9,NoTODS,9780.0
10,FFD,9344.0
10,MILQ,562437487.5
10,MTMC,8908.0
10,NoTODS,18688.0
