num_qubits_each_circuit,dataset,average_utilization
2,FFD,0.8
2,MILQ,0.55
2,MTMC,0.8
2,NoTODS,0.39751552795031053
3,FFD,0.6
3,MILQ,0.6
3,MTMC,0.6
3,NoTODS,0.8450044365572316
4,FFD,0.8
4,MILQ,0.7212574936178757
4,MTMC,0.8
4,NoTODS,0.7590626494500239
5,FFD,1.0
5,MILQ,0.9986642725986222
5,MTMC,1.0
5,NoTODS,0.7704347826086957
6,FFD,0.9988276670574443
6,MILQ,0.995300238269816
6,MTMC,0.9995289684408857
6,NoTODS,0.6
7,FFD,0.9814450491911912
7,MILQ,0.9625402726146219
7,MTMC,0.9809532670850505
7,NoTODS,0.7172413793103448
8,FFD,0.8879420572463264
8,MILQ,0.8571408582089554
8,MTMC,0.8822081978708486
8,NoTODS,0.8
9,FFD,0.904780361757106
9,MILQ,0.040711115178522925
9,MTMC,0.9094464576475169
9,NoTODS,0.9
10,FFD,1.0
10,MILQ,1.140143134453388e-05
10,MTMC,1.0
10,NoTODS,1.0
