num_qubits_each_circuit,dataset,scheduler_latency
2,FFD,0.006630897521972656
2,MILQ,299.9812490940094
2,MTMC,0.0074138641357421875
2,NoTODS,0.5371983051300049
3,FFD,0.006218433380126953
3,MILQ,0.8980722427368164
3,MTMC,0.004606008529663086
3,NoTODS,0.5183284282684326
4,FFD,0.007036685943603516
4,MILQ,0.2148292064666748
4,MTMC,0.009629487991333008
4,NoTODS,0.5421609878540039
5,FFD,0.004704952239990234
5,MILQ,0.2392590045928955
5,MTMC,0.010139703750610352
5,NoTODS,0.6601557731628418
6,FFD,0.008918523788452148
6,MILQ,1.3222928047180176
6,MTMC,0.009466409683227539
6,NoTODS,0.5418694019317627
7,FFD,0.00646662712097168
7,MILQ,1.45430326461792
7,MTMC,0.014423370361328125
7,NoTODS,0.5411193370819092
8,FFD,0.003842592239379883
8,MILQ,1.3507933616638184
8,MTMC,0.016329288482666016
8,NoTODS,0.6999349594116211
9,FFD,0.01063084602355957
9,MILQ,1.6702921390533447
9,MTMC,0.014935731887817383
9,NoTODS,0.5545632839202881
10,FFD,0.01013493537902832
10,MILQ,1.255976676940918
10,MTMC,0.018175601959228516
10,NoTODS,0.5555870532989502
