num_circuit,dataset,makespan
2,FFD,15360.0
2,MILQ,22176.0
2,MTMC,22176.0
2,NoTODS,15040.0
3,FFD,44352.0
3,MILQ,22176.0
3,MTMC,44352.0
3,NoTODS,22560.0
4,FFD,30560.0
4,MILQ,37536.0
4,MTMC,44352.0
4,NoTODS,30080.0
5,FFD,45600.0
5,MILQ,1717945.6
5,MTMC,66528.0
5,NoTODS,37600.0
6,FFD,52736.0
6,MILQ,24007484.0
6,MTMC,52736.0
6,NoTODS,45120.0
7,FFD,81728.0
7,MILQ,53216.0
7,MTMC,81888.0
7,NoTODS,52640.0
8,FFD,74912.0
8,MILQ,41184.0
8,MTMC,67936.0
8,NoTODS,60160.0
9,FFD,89952.0
9,MILQ,7449449376.0
9,MTMC,90112.0
9,NoTODS,67680.0
10,FFD,97088.0
10,MILQ,75072.0
10,MTMC,90112.0
10,NoTODS,75200.0
11,FFD,112128.0
11,MILQ,59712.0
11,MTMC,105312.0
11,NoTODS,82720.0
12,FFD,98496.0
12,MILQ,141609.2018553
12,MTMC,112288.0
12,NoTODS,90240.0
13,FFD,127328.0
13,MILQ,143173.9093687
13,MTMC,134464.0
13,NoTODS,97760.0
14,FFD,127648.0
14,MILQ,68480.0
14,MTMC,141440.0
14,NoTODS,105280.0
15,FFD,149504.0
15,MILQ,165344.0
15,MTMC,149664.0
15,NoTODS,112800.0
16,FFD,149824.0
16,MILQ,105632.000000009
16,MTMC,142848.0
16,NoTODS,120320.0
17,FFD,150752.0
17,MILQ,90592.00034533335
17,MTMC,185952.0
17,NoTODS,127840.0
18,FFD,172000.0
18,MILQ,158528.0
18,MTMC,178976.0
18,NoTODS,135360.0
19,FFD,193856.0
19,MILQ,238688.0
19,MTMC,187200.0
19,NoTODS,142880.0
20,FFD,180224.0
20,MTMC,194176.0
20,NoTODS,150400.0
