num_circuit,dataset,average_turnaroundTime
2,FFD,13176.0
2,MILQ,10712.0
2,MTMC,7360.0
2,NoTODS,9360.0
3,FFD,15690.666666666666
3,MILQ,13952.0
3,MTMC,12325.333333333334
3,NoTODS,13120.0
4,FFD,23524.0
4,MILQ,19828.0
4,MTMC,10980.0
4,NoTODS,16880.0
5,FFD,18019.2
5,MILQ,382603.63529999997
5,MTMC,15452.8
5,NoTODS,20640.0
6,FFD,36418.666666666664
6,MILQ,-335335777.47994083
6,MTMC,17237.333333333332
6,NoTODS,24400.0
7,FFD,28528.0
7,MILQ,23270.85714285714
7,MTMC,26384.0
7,NoTODS,28160.0
8,FFD,44448.0
8,MILQ,28921.999999920386
8,MTMC,25036.0
8,NoTODS,31920.0
9,FFD,32832.0
9,MILQ,826645696.2761111
9,MTMC,30577.777777777777
9,NoTODS,35680.0
10,FFD,52419.2
10,MILQ,45803.2
10,MTMC,31163.2
10,NoTODS,39440.0
11,FFD,39079.27272727273
11,MILQ,39156.36363636364
11,MTMC,32453.81818181818
11,NoTODS,43200.0
12,FFD,57316.0
12,MILQ,40646.50077304166
12,MTMC,38117.333333333336
12,NoTODS,46960.0
13,FFD,43958.153846153844
13,MILQ,49462.95817016923
13,MTMC,41405.53846153846
13,NoTODS,50720.0
14,FFD,75230.85714285714
14,MILQ,39805.71428571428
14,MTMC,45115.42857142857
14,NoTODS,54480.0
15,FFD,52428.8
15,MILQ,51300.13416666666
15,MTMC,42424.53333333333
15,NoTODS,58240.0
16,FFD,85444.0
16,MILQ,45130.94290046176
16,MTMC,45943.0
16,NoTODS,62000.0
17,FFD,56256.94117647059
17,MILQ,44443.294249686274
17,MTMC,60707.76470588235
17,NoTODS,65760.0
18,FFD,93890.66666666667
18,MILQ,68161.77777777778
18,MTMC,57582.22222222222
18,NoTODS,69520.0
19,FFD,67731.36842105263
19,MILQ,83390.31578947368
19,MTMC,64522.10526315789
19,NoTODS,73280.0
20,FFD,96469.6
20,MTMC,69536.0
20,NoTODS,77040.0
