num_circuit,dataset,average_responseTime
2,FFD,7600.0
2,MILQ,3392.0
2,MTMC,40.0
2,NoTODS,5600.0
3,FFD,7088.0
3,MILQ,7914.666666666667
3,MTMC,3722.6666666666665
3,NoTODS,9360.0
4,FFD,17948.0
4,MILQ,13380.0
4,MTMC,3660.0
4,NoTODS,13120.0
5,FFD,12022.4
5,MILQ,375909.23529999994
5,MTMC,7363.2
5,NoTODS,16880.0
6,FFD,30261.333333333332
6,MILQ,-335343337.47994083
6,MTMC,11080.0
6,NoTODS,20640.0
7,FFD,21156.571428571428
7,MILQ,17497.14285714286
7,MTMC,19012.571428571428
7,NoTODS,24400.0
8,FFD,38000.0
8,MILQ,23961.999999920383
8,MTMC,19024.0
8,NoTODS,28160.0
9,FFD,26247.11111111111
9,MILQ,826639966.4983335
9,MTMC,23992.88888888889
9,NoTODS,31920.0
10,FFD,45796.8
10,MILQ,39950.4
10,MTMC,24889.6
10,NoTODS,35680.0
11,FFD,32360.727272727272
11,MILQ,33902.545454545456
11,MTMC,26052.363636363636
11,NoTODS,39440.0
12,FFD,51449.333333333336
12,MILQ,33266.50077304166
12,MTMC,31669.333333333332
12,NoTODS,43200.0
13,FFD,37415.38461538462
13,MILQ,42596.49663170769
13,MTMC,34594.46153846154
13,NoTODS,46960.0
14,FFD,68907.42857142857
14,MILQ,34882.28571428572
14,MTMC,38293.71428571428
14,NoTODS,50720.0
15,FFD,45782.4
15,MILQ,44373.20083333333
15,MTMC,35778.13333333333
15,NoTODS,54480.0
16,FFD,78996.0
16,MILQ,39644.94290046176
16,MTMC,39713.0
16,NoTODS,58240.0
17,FFD,50146.82352941176
17,MILQ,39323.294249686274
17,MTMC,53571.76470588235
17,NoTODS,62000.0
18,FFD,87345.77777777778
18,MILQ,62004.444444444445
18,MTMC,50843.555555555555
18,NoTODS,65760.0
19,FFD,60943.15789473684
19,MILQ,75792.0
19,MTMC,57917.47368421053
19,NoTODS,69520.0
20,FFD,90196.0
20,MTMC,62913.6
20,NoTODS,73280.0
