num_circuit,dataset,average_throughput
2,FFD,3840.0
2,MILQ,5544.0
2,MTMC,5544.0
2,NoTODS,3760.0
3,FFD,7392.0
3,MILQ,3696.0
3,MTMC,7392.0
3,NoTODS,3760.0
4,FFD,3820.0
4,MILQ,4692.0
4,MTMC,5544.0
4,NoTODS,3760.0
5,FFD,4560.0
5,MILQ,171794.56
5,MTMC,6652.8
5,NoTODS,3760.0
6,FFD,4394.666666666667
6,MILQ,2000623.6666666667
6,MTMC,4394.666666666667
6,NoTODS,3760.0
7,FFD,5837.714285714285
7,MILQ,3801.1428571428573
7,MTMC,5849.142857142857
7,NoTODS,3760.0
8,FFD,4682.0
8,MILQ,2574.0
8,MTMC,4246.0
8,NoTODS,3760.0
9,FFD,4997.333333333333
9,MILQ,413858298.6666667
9,MTMC,5006.222222222223
9,NoTODS,3760.0
10,FFD,4854.4
10,MILQ,3753.6
10,MTMC,4505.6
10,NoTODS,3760.0
11,FFD,5096.727272727273
11,MILQ,2714.181818181818
11,MTMC,4786.909090909091
11,NoTODS,3760.0
12,FFD,4104.0
12,MILQ,5900.3834106375
12,MTMC,4678.666666666667
12,NoTODS,3760.0
13,FFD,4897.2307692307695
13,MILQ,5506.688821873076
13,MTMC,5171.692307692308
13,NoTODS,3760.0
14,FFD,4558.857142857143
14,MILQ,2445.714285714286
14,MTMC,5051.428571428572
14,NoTODS,3760.0
15,FFD,4983.466666666666
15,MILQ,5511.466666666666
15,MTMC,4988.8
15,NoTODS,3760.0
16,FFD,4682.0
16,MILQ,3301.000000000281
16,MTMC,4464.0
16,NoTODS,3760.0
17,FFD,4433.882352941177
17,MILQ,2664.470598392157
17,MTMC,5469.176470588235
17,NoTODS,3760.0
18,FFD,4777.777777777777
18,MILQ,4403.555555555556
18,MTMC,4971.555555555556
18,NoTODS,3760.0
19,FFD,5101.473684210527
19,MILQ,6281.263157894737
19,MTMC,4926.315789473684
19,NoTODS,3760.0
20,FFD,4505.6
20,MTMC,4854.4
20,NoTODS,3760.0
