num_circuit,dataset,makespan
2,FFD,3648.0
2,MILQ,3648.0
2,MTMC,3648.0
2,NoTODS,161.0
3,FFD,3648.0
3,MILQ,3648.0
3,MTMC,3648.0
3,NoTODS,162.0
4,FFD,3648.0
4,MILQ,3648.0
4,MTMC,3648.0
4,NoTODS,163.0
5,FFD,7296.0
5,MILQ,7296.0
5,MTMC,7296.0
5,NoTODS,164.0
6,FFD,7296.0
6,MILQ,7296.0
6,MTMC,7296.0
6,NoTODS,320.0
7,FFD,7296.0
7,MILQ,4704.0
7,MTMC,7296.0
7,NoTODS,321.0
8,FFD,7296.0
8,MILQ,6272.0
8,MTMC,7296.0
8,NoTODS,322.0
9,FFD,10944.0
9,MILQ,10944.0
9,MTMC,10944.0
9,NoTODS,323.0
10,FFD,10944.0
10,MILQ,10944.0
10,MTMC,10944.0
10,NoTODS,324.0
11,FFD,10944.0
11,MILQ,10944.0
11,MTMC,10944.0
11,NoTODS,480.0
12,FFD,10944.0
12,MILQ,10944.0
12,MTMC,10944.0
12,NoTODS,481.0
13,FFD,14592.0
13,MILQ,7840.0
13,MTMC,14592.0
13,NoTODS,482.0
14,FFD,14592.0
14,MILQ,10944.0
14,MTMC,14592.0
14,NoTODS,483.0
15,FFD,14592.0
15,MILQ,14592.0
15,MTMC,14592.0
15,NoTODS,484.0
16,FFD,14592.0
16,MILQ,14592.0
16,MTMC,14592.0
16,NoTODS,640.0
17,FFD,18240.0
17,MILQ,14592.0
17,MTMC,18240.0
17,NoTODS,641.0
18,FFD,18240.0
18,MILQ,18240.0
18,MTMC,18240.0
18,NoTODS,642.0
19,FFD,18240.0
19,MILQ,18240.0
19,MTMC,18240.0
19,NoTODS,643.0
20,FFD,18240.0
20,MTMC,18240.0
20,NoTODS,644.0
