num_circuit,dataset,average_turnaroundTime
2,FFD,3648.0
2,MILQ,3648.0
2,MTMC,2608.0
2,NoTODS,80.5
3,FFD,2954.6666666666665
3,MILQ,2261.3333333333335
3,MTMC,2954.6666666666665
3,NoTODS,81.0
4,FFD,2608.0
4,MILQ,2608.0
4,MTMC,2608.0
4,NoTODS,81.5
5,FFD,3545.6
5,MILQ,3545.6
5,MTMC,3545.6
5,NoTODS,82.0
6,FFD,4170.666666666667
6,MILQ,3477.3333333333335
6,MTMC,3477.3333333333335
6,NoTODS,95.41666666666667
7,FFD,4022.8571428571427
7,MILQ,3209.1428571428573
7,MTMC,4022.8571428571427
7,NoTODS,105.14285714285714
8,FFD,3912.0
8,MILQ,3592.0
8,MTMC,3912.0
8,NoTODS,112.5625
9,FFD,4693.333333333333
9,MILQ,5560.888888888889
9,MTMC,4693.333333333333
9,NoTODS,118.44444444444444
10,FFD,5318.4
10,MILQ,5318.4
10,MTMC,4694.4
10,NoTODS,123.25
11,FFD,5262.545454545455
11,MILQ,5262.545454545455
11,MTMC,5262.545454545455
11,NoTODS,134.3181818181818
12,FFD,5216.0
12,MILQ,4826.666666666667
12,MTMC,5216.0
12,NoTODS,143.625
13,FFD,5937.2307692307695
13,MILQ,4699.076923076923
13,MTMC,5937.2307692307695
13,NoTODS,151.57692307692307
14,FFD,6555.428571428572
14,MILQ,5366.857142857143
14,MTMC,5961.142857142857
14,NoTODS,158.46428571428572
15,FFD,6536.533333333334
15,MILQ,5981.866666666667
15,MTMC,6536.533333333334
15,NoTODS,164.5
16,FFD,6520.0
16,MILQ,6520.0
16,MTMC,6520.0
16,NoTODS,174.6875
17,FFD,7209.411764705882
17,MILQ,6597.64705882353
17,MTMC,7209.411764705882
17,NoTODS,183.73529411764707
18,FFD,7822.222222222223
18,MILQ,7244.444444444444
18,MTMC,7244.444444444444
18,NoTODS,191.83333333333334
19,FFD,7823.1578947368425
19,MILQ,7823.1578947368425
19,MTMC,7823.1578947368425
19,NoTODS,199.1315789473684
20,FFD,7824.0
20,MTMC,7824.0
20,NoTODS,205.75
