num_circuit,dataset,average_utilization
2,FFD,0.8
2,MILQ,0.8
2,MTMC,0.4
2,NoTODS,0.19875776397515527
3,FFD,0.6
3,MILQ,0.6
3,MTMC,0.6
3,NoTODS,0.2962962962962963
4,FFD,0.8
4,MILQ,0.8
4,MTMC,0.8
4,NoTODS,0.39263803680981596
5,FFD,0.7
5,MILQ,0.7
5,MTMC,0.7
5,NoTODS,0.4878048780487805
6,FFD,0.8
6,MILQ,0.6
6,MTMC,0.6
6,NoTODS,0.3
7,FFD,0.7
7,MILQ,0.6
7,MTMC,0.7
7,NoTODS,0.34890965732087226
8,FFD,0.8
8,MILQ,0.55
8,MTMC,0.8
8,NoTODS,0.39751552795031053
9,FFD,0.7333333333333333
9,MILQ,0.7
9,MTMC,0.7333333333333333
9,NoTODS,0.4458204334365325
10,FFD,0.8
10,MILQ,0.8
10,MTMC,0.6666666666666666
10,NoTODS,0.49382716049382713
11,FFD,0.7333333333333333
11,MILQ,0.7333333333333333
11,MTMC,0.7333333333333333
11,NoTODS,0.36666666666666664
12,FFD,0.8
12,MILQ,0.6833333333333333
12,MTMC,0.8
12,NoTODS,0.3991683991683992
13,FFD,0.75
13,MILQ,0.76
13,MTMC,0.75
13,NoTODS,0.43153526970954365
14,FFD,0.8
14,MILQ,0.8
14,MTMC,0.7
14,NoTODS,0.463768115942029
15,FFD,0.75
15,MILQ,0.75
15,MTMC,0.75
15,NoTODS,0.49586776859504134
16,FFD,0.8
16,MILQ,0.8
16,MTMC,0.8
16,NoTODS,0.4
17,FFD,0.76
17,MILQ,0.76
17,MTMC,0.76
17,NoTODS,0.4243369734789392
18,FFD,0.8
18,MILQ,0.72
18,MTMC,0.72
18,NoTODS,0.44859813084112143
19,FFD,0.76
19,MILQ,0.76
19,MTMC,0.76
19,NoTODS,0.47278382581648526
20,FFD,0.8
20,MTMC,0.8
20,NoTODS,0.49689440993788814
