num_circuit,dataset,sampling_overhead
2,FFD,0.0
2,MILQ,0.0
2,MTMC,0.0
2,NoTODS,0.0
3,FFD,0.0
3,MILQ,0.0
3,MTMC,0.0
3,NoTODS,0.0
4,FFD,0.0
4,MILQ,0.0
4,MTMC,0.0
4,NoTODS,0.0
5,FFD,0.0
5,MILQ,0.0
5,MTMC,0.0
5,NoTODS,0.0
6,FFD,0.0
6,MILQ,0.0
6,MTMC,0.0
6,NoTODS,0.0
7,FFD,0.0
7,MILQ,0.0
7,MTMC,0.0
7,NoTODS,0.0
8,FFD,0.0
8,MILQ,0.0
8,MTMC,0.0
8,NoTODS,0.0
9,FFD,0.0
9,MILQ,0.0
9,MTMC,0.0
9,NoTODS,0.0
10,FFD,0.0
10,MILQ,0.0
10,MTMC,0.0
10,NoTODS,0.0
11,FFD,0.0
11,MILQ,0.0
11,MTMC,0.0
11,NoTODS,0.0
12,FFD,0.0
12,MILQ,0.0
12,MTMC,0.0
12,NoTODS,0.0
13,FFD,0.0
13,MILQ,0.0
13,MTMC,0.0
13,NoTODS,0.0
14,FFD,0.0
14,MILQ,0.0
14,MTMC,0.0
14,NoTODS,0.0
15,FFD,0.0
15,MILQ,0.0
15,MTMC,0.0
15,NoTODS,0.0
16,FFD,0.0
16,MILQ,0.0
16,MTMC,0.0
16,NoTODS,0.0
17,FFD,0.0
17,MILQ,0.0
17,MTMC,0.0
17,NoTODS,0.0
18,FFD,0.0
18,MILQ,0.0
18,MTMC,0.0
18,NoTODS,0.0
19,FFD,0.0
19,MILQ,0.0
19,MTMC,0.0
19,NoTODS,0.0
20,FFD,0.0
20,MTMC,0.0
20,NoTODS,0.0
