num_circuit,dataset,average_responseTime
2,FFD,0.0
2,MILQ,0.0
2,MTMC,0.0
2,NoTODS,0.5
3,FFD,0.0
3,MILQ,0.0
3,MTMC,0.0
3,NoTODS,1.0
4,FFD,0.0
4,MILQ,0.0
4,MTMC,0.0
4,NoTODS,1.5
5,FFD,729.6
5,MILQ,729.6
5,MTMC,729.6
5,NoTODS,2.0
6,FFD,1216.0
6,MILQ,869.3333333333334
6,MTMC,869.3333333333334
6,NoTODS,15.416666666666666
7,FFD,1266.2857142857142
7,MILQ,1344.0
7,MTMC,1266.2857142857142
7,NoTODS,25.142857142857142
8,FFD,1304.0
8,MILQ,1764.0
8,MTMC,1304.0
8,NoTODS,32.5625
9,FFD,1969.7777777777778
9,MILQ,2606.222222222222
9,MTMC,1969.7777777777778
9,NoTODS,38.44444444444444
10,FFD,2502.4
10,MILQ,2502.4
10,MTMC,2086.4
10,NoTODS,43.25
11,FFD,2560.0
11,MILQ,2560.0
11,MTMC,2560.0
11,NoTODS,54.31818181818182
12,FFD,2608.0
12,MILQ,2392.0
12,MTMC,2608.0
12,NoTODS,63.625
13,FFD,3249.230769230769
13,MILQ,2491.076923076923
13,MTMC,3249.230769230769
13,NoTODS,71.57692307692308
14,FFD,3798.8571428571427
14,MILQ,2907.4285714285716
14,MTMC,3353.1428571428573
14,NoTODS,78.46428571428571
15,FFD,3859.2
15,MILQ,3443.2
15,MTMC,3859.2
15,NoTODS,84.5
16,FFD,3912.0
16,MILQ,3912.0
16,MTMC,3912.0
16,NoTODS,94.6875
17,FFD,4540.235294117647
17,MILQ,4050.823529411765
17,MTMC,4540.235294117647
17,NoTODS,103.73529411764706
18,FFD,5098.666666666667
18,MILQ,4636.444444444444
18,MTMC,4636.444444444444
18,NoTODS,111.83333333333333
19,FFD,5160.421052631579
19,MILQ,5160.421052631579
19,MTMC,5160.421052631579
19,NoTODS,119.13157894736842
20,FFD,5216.0
20,MTMC,5216.0
20,NoTODS,125.75
