num_circuit,dataset,average_fidelity
2,FFD,0.8404382539336119
2,MILQ,0.8445359241749513
2,MTMC,0.9315708936546225
2,NoTODS,0.9887831381087056
3,FFD,0.8588467171293707
3,MILQ,0.8639245167754558
3,MTMC,0.8705709125155702
3,NoTODS,0.9884898547134169
4,FFD,0.8450914804678223
4,MILQ,0.8402126925213937
4,MTMC,0.845104643805854
4,NoTODS,0.9879984945516218
5,FFD,0.8504000734413524
5,MILQ,0.856351166031023
5,MTMC,0.8584359306822262
5,NoTODS,0.9891954672248173
6,FFD,0.83302792910427
6,MILQ,0.8644901225950683
6,MTMC,0.8661288283526436
6,NoTODS,0.9882799961991244
7,FFD,0.8487239320570991
7,MILQ,0.8441407245942283
7,MTMC,0.859675141537247
7,NoTODS,0.9882800829280762
8,FFD,0.8354827639524911
8,MILQ,0.8548849588407121
8,MTMC,0.8373856182163244
8,NoTODS,0.9886895810585405
9,FFD,0.8417195105217607
9,MILQ,0.8444229360966383
9,MTMC,0.8440765737485324
9,NoTODS,0.9880763423155243
10,FFD,0.8382625886552594
10,MILQ,0.8327430921644728
10,MTMC,0.8555049924859126
10,NoTODS,0.9887944224250507
11,FFD,0.8415515129644799
11,MILQ,0.8473973729471301
11,MTMC,0.8395459360821161
11,NoTODS,0.9880501811183965
12,FFD,0.8328496126798449
12,MILQ,0.8519668564839408
12,MTMC,0.8336284906056916
12,NoTODS,0.9876200614925367
13,FFD,0.8410527015792482
13,MILQ,0.8398843057209711
13,MTMC,0.8450808103061325
13,NoTODS,0.98808082817095
14,FFD,0.836512211994262
14,MILQ,0.8315602992384037
14,MTMC,0.852296941984707
14,NoTODS,0.989000582533569
15,FFD,0.8436174496867344
15,MILQ,0.8423574367863551
15,MTMC,0.8403504380345216
15,NoTODS,0.9885467266559301
16,FFD,0.8313686306902905
16,MILQ,0.8376761884126018
16,MTMC,0.8317719438068678
16,NoTODS,0.9887314362723044
17,FFD,0.838848995234557
17,MILQ,0.8414307492382797
17,MTMC,0.8324468182325037
17,NoTODS,0.9877073293325824
18,FFD,0.8333793016980628
18,MILQ,0.8436678272086633
18,MTMC,0.8419389480771481
18,NoTODS,0.9873226138979732
19,FFD,0.8440614984526535
19,MILQ,0.8395131502180281
19,MTMC,0.8343646666525145
19,NoTODS,0.9884728979810522
20,FFD,0.833648091137742
20,MTMC,0.8343833360350429
20,NoTODS,0.9878153989016532
