num_circuit,dataset,average_throughput
2,FFD,1824.0
2,MILQ,1824.0
2,MTMC,1824.0
2,NoTODS,40.25
3,FFD,1216.0
3,MILQ,1216.0
3,MTMC,1216.0
3,NoTODS,27.0
4,FFD,912.0
4,MILQ,912.0
4,MTMC,912.0
4,NoTODS,20.375
5,FFD,1459.2
5,MILQ,1459.2
5,MTMC,1459.2
5,NoTODS,16.4
6,FFD,1216.0
6,MILQ,1216.0
6,MTMC,1216.0
6,NoTODS,26.666666666666668
7,FFD,1042.2857142857142
7,MILQ,672.0
7,MTMC,1042.2857142857142
7,NoTODS,22.928571428571427
8,FFD,912.0
8,MILQ,784.0
8,MTMC,912.0
8,NoTODS,20.125
9,FFD,1216.0
9,MILQ,1216.0
9,MTMC,1216.0
9,NoTODS,17.944444444444443
10,FFD,1094.4
10,MILQ,1094.4
10,MTMC,1094.4
10,NoTODS,16.2
11,FFD,994.9090909090909
11,MILQ,994.9090909090909
11,MTMC,994.9090909090909
11,NoTODS,21.818181818181817
12,FFD,912.0
12,MILQ,912.0
12,MTMC,912.0
12,NoTODS,20.041666666666668
13,FFD,1122.4615384615386
13,MILQ,603.0769230769231
13,MTMC,1122.4615384615386
13,NoTODS,18.53846153846154
14,FFD,1042.2857142857142
14,MILQ,781.7142857142857
14,MTMC,1042.2857142857142
14,NoTODS,17.25
15,FFD,972.8
15,MILQ,972.8
15,MTMC,972.8
15,NoTODS,16.133333333333333
16,FFD,912.0
16,MILQ,912.0
16,MTMC,912.0
16,NoTODS,20.0
17,FFD,1072.9411764705883
17,MILQ,858.3529411764706
17,MTMC,1072.9411764705883
17,NoTODS,18.852941176470587
18,FFD,1013.3333333333334
18,MILQ,1013.3333333333334
18,MTMC,1013.3333333333334
18,NoTODS,17.833333333333332
19,FFD,960.0
19,MILQ,960.0
19,MTMC,960.0
19,NoTODS,16.92105263157895
20,FFD,912.0
20,MTMC,912.0
20,NoTODS,16.1
