num_circuit,dataset,average_turnaroundTime
2,FFD,14560.0
2,MILQ,14560.0
2,MTMC,11072.0
2,NoTODS,4464.75
3,FFD,19840.0
3,MILQ,24490.666666666668
3,MTMC,19840.0
3,NoTODS,6304.5
4,FFD,21840.0
4,MILQ,18352.0
4,MTMC,18352.0
4,NoTODS,8144.375
5,FFD,22406.4
5,MILQ,16928.138043292
5,MTMC,26592.0
5,NoTODS,9984.3
6,FFD,24469.333333333332
6,MILQ,-154791.52951725014
6,MTMC,29120.0
6,NoTODS,11824.25
7,FFD,34642.28571428572
7,MILQ,-5986643.285714285
7,MTMC,33645.71428571428
7,NoTODS,13664.214285714286
8,FFD,33784.0
8,MILQ,24835.523956750003
8,MTMC,33784.0
8,NoTODS,15504.1875
9,FFD,40800.0
9,MILQ,29269.308577777778
9,MTMC,38474.666666666664
9,NoTODS,17344.166666666668
10,FFD,33216.0
10,MILQ,83036.64790720001
10,MTMC,37401.6
10,NoTODS,19184.15
11,FFD,48000.0
11,MILQ,-2615295.9272727272
11,MTMC,38487.27272727273
11,NoTODS,21024.136363636364
12,FFD,49216.0
12,MILQ,41016.0
12,MTMC,45728.0
12,NoTODS,22864.125
13,FFD,51468.307692307695
13,MILQ,-92492966.76923077
13,MTMC,55224.61538461538
13,NoTODS,24704.115384615383
14,FFD,53257.142857142855
14,MILQ,45638.857142857145
14,MTMC,53755.42857142857
14,NoTODS,26544.10714285714
15,FFD,57813.333333333336
15,MILQ,57225.395593335656
15,MTMC,65254.4
15,NoTODS,28384.1
16,FFD,54184.0
16,MILQ,80355589.591125
16,MTMC,56800.0
16,NoTODS,30224.09375
17,FFD,65609.41176470589
17,MILQ,605141511.5016118
17,MTMC,61095.529411764706
17,NoTODS,32064.08823529412
18,FFD,64273.77777777778
18,MILQ,4513957310.999996
18,MTMC,65048.88888888889
18,NoTODS,33904.083333333336
19,FFD,72929.68421052632
19,MILQ,2223450940.338421
19,MTMC,70726.73684210527
19,NoTODS,35744.07894736842
20,FFD,77987.2
20,MTMC,71708.8
20,NoTODS,37584.075
